Shipment_ID,Order_ID,Dispatch_Date,Delivery_Date,Carrier,Delivery_Status,Delay_Days,,,,,,,,,
91,9912,8/27/2025,9/6/2025,Delhivery,Delayed,-1,,,,,,,,,
92,10772,5/14/2024,5/30/2024,DHL,In Transit,7,,,,,,,,,
93,14456,8/10/2024,8/24/2024,DHL,Delayed,6,,,,,,,,,
94,39818,12/9/2024,12/17/2024,BlueDart,Delayed,0,,,,,,,,,
95,32529,4/24/2024,5/3/2024,FedEx,Delayed,3,,,,,,,,,
96,26062,12/25/2024,12/27/2024,Delhivery,Delayed,0,,,,,,,,,
97,25812,9/21/2025,9/28/2025,Delhivery,In Transit,5,,,,,,,,,
98,22573,8/8/2024,8/14/2024,DHL,Delivered,1,,,,,,,,,
99,13608,4/29/2024,5/6/2024,Delhivery,Delayed,5,,,,,,,,,
100,36380,3/22/2025,3/31/2025,DHL,Delayed,4,,,,,,,,,
101,21604,8/28/2025,9/5/2025,BlueDart,Delivered,-1,,,,,,,,,
102,38513,3/10/2024,3/15/2024,Delhivery,Delayed,-1,,,,,,,,,
103,46291,10/6/2024,10/12/2024,FedEx,Delivered,4,,,,,,,,,
104,38792,5/25/2025,6/4/2025,BlueDart,Delayed,7,,,,,,,,,
105,15017,6/14/2025,6/24/2025,FedEx,In Transit,4,,,,,,,,,
106,35585,11/25/2025,12/9/2025,Delhivery,Delivered,7,,,,,,,,,
107,40378,12/11/2025,12/16/2025,BlueDart,In Transit,3,,,,,,,,,
108,38253,10/5/2025,10/11/2025,FedEx,Delivered,3,,,,,,,,,
109,7014,2/5/2025,2/10/2025,DHL,In Transit,4,,,,,,,,,
110,2903,11/29/2024,12/6/2024,DHL,Delayed,-1,,,,,,,,,
111,35773,3/17/2025,3/28/2025,DHL,In Transit,3,,,,,,,,,
112,13153,3/24/2024,4/6/2024,BlueDart,In Transit,3,,,,,,,,,
113,10879,11/30/2025,12/11/2025,FedEx,In Transit,2,,,,,,,,,
114,5266,2/4/2024,2/10/2024,DHL,Delayed,5,,,,,,,,,
115,33430,4/28/2024,5/4/2024,Delhivery,Delayed,2,,,,,,,,,
116,39875,8/31/2025,9/10/2025,FedEx,In Transit,6,,,,,,,,,
117,25137,8/4/2025,8/10/2025,BlueDart,In Transit,4,,,,,,,,,
118,10305,12/23/2024,12/29/2024,FedEx,In Transit,5,,,,,,,,,
119,23957,3/27/2024,4/6/2024,DHL,In Transit,-1,,,,,,,,,
120,9643,8/2/2024,8/6/2024,Delhivery,In Transit,2,,,,,,,,,
121,44412,7/18/2024,8/2/2024,DHL,Delayed,6,,,,,,,,,
122,47332,7/20/2024,7/27/2024,FedEx,In Transit,2,,,,,,,,,
123,26419,10/4/2025,10/7/2025,DHL,Delayed,-1,,,,,,,,,
124,16756,8/22/2024,8/30/2024,DHL,Delayed,1,,,,,,,,,
125,31334,12/19/2024,12/22/2024,BlueDart,Delivered,2,,,,,,,,,
126,17542,11/29/2025,12/6/2025,Delhivery,In Transit,-1,,,,,,,,,
127,22281,3/12/2024,3/18/2024,FedEx,Delivered,5,,,,,,,,,
128,20370,2/13/2025,2/25/2025,Delhivery,Delayed,2,,,,,,,,,
129,191,1/10/2024,1/22/2024,DHL,Delayed,4,,,,,,,,,
130,36599,4/28/2025,5/2/2025,Delhivery,Delayed,0,,,,,,,,,
131,27008,10/22/2025,10/25/2025,Delhivery,Delivered,0,,,,,,,,,
132,26823,6/28/2024,7/10/2024,DHL,In Transit,6,,,,,,,,,
133,3224,2/14/2024,2/20/2024,Delhivery,Delayed,-1,,,,,,,,,
134,24291,1/5/2025,1/13/2025,DHL,In Transit,6,,,,,,,,,
135,10700,8/12/2025,8/26/2025,FedEx,Delayed,4,,,,,,,,,
136,46373,12/6/2025,12/16/2025,Delhivery,Delivered,4,,,,,,,,,
137,13226,10/31/2025,11/13/2025,DHL,In Transit,4,,,,,,,,,
138,31333,7/30/2024,8/7/2024,DHL,Delayed,1,,,,,,,,,
139,29389,9/15/2024,10/1/2024,BlueDart,Delayed,7,,,,,,,,,
140,23124,1/1/2024,1/10/2024,Delhivery,In Transit,3,,,,,,,,,
141,17423,7/28/2025,7/31/2025,Delhivery,Delayed,-1,,,,,,,,,
142,681,3/30/2024,4/9/2024,FedEx,Delivered,6,,,,,,,,,
143,45113,2/27/2025,3/7/2025,Delhivery,In Transit,1,,,,,,,,,
144,45295,9/22/2024,9/29/2024,BlueDart,Delayed,3,,,,,,,,,
145,49631,8/11/2025,8/19/2025,BlueDart,In Transit,5,,,,,,,,,
146,38546,12/24/2025,1/2/2026,DHL,In Transit,4,,,,,,,,,
147,20031,5/25/2025,5/30/2025,DHL,In Transit,1,,,,,,,,,
148,15634,5/21/2024,5/29/2024,FedEx,In Transit,4,,,,,,,,,
149,27361,1/7/2024,1/15/2024,FedEx,Delayed,4,,,,,,,,,
150,21865,4/12/2024,4/20/2024,DHL,Delivered,7,,,,,,,,,
151,20502,7/30/2025,8/7/2025,Delhivery,In Transit,1,,,,,,,,,
152,27236,6/3/2025,6/16/2025,DHL,In Transit,4,,,,,,,,,
153,48415,9/12/2025,9/13/2025,Delhivery,In Transit,-1,,,,,,,,,
154,22419,9/12/2024,9/17/2024,DHL,In Transit,3,,,,,,,,,
155,18827,4/17/2024,5/3/2024,BlueDart,Delayed,7,,,,,,,,,
156,16181,4/9/2025,4/13/2025,FedEx,In Transit,1,,,,,,,,,
157,16498,3/25/2025,4/6/2025,DHL,Delayed,7,,,,,,,,,
158,9223,12/16/2025,12/31/2025,Delhivery,In Transit,6,,,,,,,,,
159,49646,1/9/2024,1/15/2024,BlueDart,Delayed,1,,,,,,,,,
160,47911,5/16/2024,5/26/2024,Delhivery,In Transit,1,,,,,,,,,
161,18816,11/17/2025,11/29/2025,BlueDart,Delivered,3,,,,,,,,,
162,40149,10/17/2024,10/25/2024,Delhivery,Delivered,7,,,,,,,,,
163,28374,12/6/2025,12/13/2025,FedEx,Delivered,6,,,,,,,,,
164,16688,2/17/2025,3/3/2025,BlueDart,In Transit,5,,,,,,,,,
165,642,12/28/2025,1/3/2026,BlueDart,Delivered,5,,,,,,,,,
166,14507,7/23/2024,7/28/2024,BlueDart,In Transit,4,,,,,,,,,
167,7380,1/18/2024,1/25/2024,FedEx,Delayed,-1,,,,,,,,,
168,30545,11/16/2025,11/21/2025,Delhivery,In Transit,4,,,,,,,,,
169,28794,2/20/2025,3/3/2025,Delhivery,Delivered,3,,,,,,,,,
170,28265,1/28/2024,2/7/2024,DHL,Delivered,4,,,,,,,,,
171,17882,5/13/2024,5/22/2024,BlueDart,Delivered,7,,,,,,,,,
172,5950,4/25/2025,5/6/2025,Delhivery,Delivered,5,,,,,,,,,
173,9181,7/23/2024,8/3/2024,DHL,Delivered,1,,,,,,,,,
174,40112,9/2/2025,9/12/2025,DHL,In Transit,3,,,,,,,,,
175,30604,2/21/2025,2/27/2025,FedEx,Delivered,3,,,,,,,,,
176,9806,11/20/2025,11/30/2025,FedEx,Delivered,6,,,,,,,,,
177,17701,12/6/2025,12/20/2025,FedEx,In Transit,5,,,,,,,,,
178,24254,10/27/2025,10/31/2025,DHL,In Transit,2,,,,,,,,,
179,7699,3/28/2025,4/5/2025,Delhivery,Delayed,3,,,,,,,,,
180,43269,9/14/2025,9/25/2025,Delhivery,Delayed,7,,,,,,,,,
181,34398,9/23/2025,10/8/2025,DHL,In Transit,6,,,,,,,,,
182,4657,4/9/2024,4/18/2024,FedEx,Delivered,0,,,,,,,,,
183,29982,11/23/2024,11/29/2024,DHL,Delivered,-1,,,,,,,,,
184,46175,9/13/2024,9/23/2024,BlueDart,Delivered,6,,,,,,,,,
185,32505,12/7/2025,12/12/2025,Delhivery,Delayed,-1,,,,,,,,,
186,45257,6/30/2024,7/9/2024,BlueDart,Delivered,5,,,,,,,,,
187,41438,4/3/2025,4/13/2025,BlueDart,Delivered,2,,,,,,,,,
188,37495,1/15/2024,1/31/2024,FedEx,In Transit,6,,,,,,,,,
189,12767,11/30/2024,12/2/2024,BlueDart,In Transit,0,,,,,,,,,
190,39850,5/10/2025,5/16/2025,DHL,Delayed,1,,,,,,,,,
191,5606,3/19/2025,3/27/2025,BlueDart,Delivered,4,,,,,,,,,
192,8582,10/7/2025,10/18/2025,FedEx,In Transit,5,,,,,,,,,
193,25793,7/2/2024,7/16/2024,Delhivery,In Transit,6,,,,,,,,,
194,10765,11/12/2025,11/22/2025,Delhivery,Delayed,2,,,,,,,,,
195,12300,8/11/2025,8/23/2025,BlueDart,In Transit,6,,,,,,,,,
196,41692,6/14/2025,6/27/2025,DHL,Delayed,3,,,,,,,,,
197,22843,2/27/2024,3/7/2024,FedEx,In Transit,0,,,,,,,,,
198,17957,8/1/2025,8/6/2025,FedEx,Delivered,3,,,,,,,,,
199,33047,8/11/2025,8/13/2025,BlueDart,Delivered,1,,,,,,,,,
200,25570,2/27/2025,3/3/2025,Delhivery,In Transit,3,,,,,,,,,
201,23064,6/8/2025,6/22/2025,Delhivery,Delayed,6,,,,,,,,,
202,14399,3/12/2025,3/20/2025,Delhivery,In Transit,6,,,,,,,,,
203,30963,9/7/2025,9/14/2025,FedEx,Delayed,6,,,,,,,,,
204,32268,2/20/2024,2/28/2024,DHL,In Transit,5,,,,,,,,,
205,13744,1/24/2025,2/1/2025,FedEx,Delayed,4,,,,,,,,,
206,14732,8/28/2024,9/7/2024,DHL,In Transit,7,,,,,,,,,
207,22411,10/22/2025,10/26/2025,DHL,In Transit,2,,,,,,,,,
208,42968,11/9/2025,11/16/2025,DHL,Delivered,1,,,,,,,,,
209,21456,9/4/2025,9/12/2025,FedEx,Delayed,6,,,,,,,,,
210,34692,9/22/2024,10/7/2024,DHL,In Transit,5,,,,,,,,,
211,44342,3/22/2024,3/28/2024,DHL,Delayed,3,,,,,,,,,
212,39458,12/2/2024,12/8/2024,BlueDart,Delivered,5,,,,,,,,,
213,40814,10/12/2025,10/17/2025,BlueDart,Delivered,0,,,,,,,,,
214,27411,3/5/2025,3/12/2025,Delhivery,Delivered,4,,,,,,,,,
215,31226,10/8/2025,10/20/2025,BlueDart,In Transit,4,,,,,,,,,
216,43800,12/23/2025,12/30/2025,BlueDart,Delayed,0,,,,,,,,,
217,17076,3/4/2024,3/15/2024,FedEx,In Transit,7,,,,,,,,,
218,45155,6/28/2024,7/11/2024,Delhivery,In Transit,3,,,,,,,,,
219,45774,8/6/2025,8/19/2025,DHL,In Transit,5,,,,,,,,,
220,31096,10/11/2025,10/13/2025,Delhivery,Delivered,-1,,,,,,,,,
221,6081,12/19/2024,12/22/2024,Delhivery,Delivered,2,,,,,,,,,
222,8585,10/11/2025,10/19/2025,DHL,Delivered,3,,,,,,,,,
223,9477,3/28/2024,4/2/2024,Delhivery,Delivered,-1,,,,,,,,,
224,7432,2/15/2025,2/24/2025,DHL,Delayed,0,,,,,,,,,
225,12464,11/30/2024,12/3/2024,FedEx,Delayed,2,,,,,,,,,
226,39903,6/6/2025,6/12/2025,DHL,Delivered,2,,,,,,,,,
227,24421,12/16/2025,12/24/2025,FedEx,In Transit,5,,,,,,,,,
228,49953,2/18/2024,2/22/2024,BlueDart,Delivered,1,,,,,,,,,
229,29609,3/23/2025,3/31/2025,Delhivery,Delayed,4,,,,,,,,,
230,3777,6/4/2025,6/13/2025,DHL,Delivered,4,,,,,,,,,
231,6897,12/1/2024,12/5/2024,DHL,Delayed,-1,,,,,,,,,
232,3579,12/30/2025,1/11/2026,BlueDart,Delayed,7,,,,,,,,,
233,28949,7/12/2024,7/18/2024,BlueDart,In Transit,-1,,,,,,,,,
234,28737,8/27/2025,9/6/2025,BlueDart,Delayed,4,,,,,,,,,
235,14998,10/10/2024,10/22/2024,BlueDart,In Transit,5,,,,,,,,,
236,29611,8/11/2025,8/22/2025,BlueDart,Delayed,7,,,,,,,,,
237,5167,8/5/2024,8/19/2024,DHL,Delivered,6,,,,,,,,,
238,6022,3/27/2024,4/7/2024,BlueDart,Delayed,6,,,,,,,,,
239,34131,9/12/2025,9/27/2025,FedEx,Delayed,5,,,,,,,,,
240,25237,4/21/2024,5/1/2024,DHL,In Transit,0,,,,,,,,,
241,32759,3/8/2025,3/10/2025,DHL,In Transit,0,,,,,,,,,
242,26912,4/10/2025,4/23/2025,BlueDart,Delayed,6,,,,,,,,,
243,22291,7/24/2025,8/1/2025,BlueDart,Delivered,6,,,,,,,,,
244,47634,9/5/2024,9/22/2024,DHL,Delayed,7,,,,,,,,,
245,10459,7/17/2024,7/31/2024,Delhivery,In Transit,5,,,,,,,,,
246,38868,9/24/2024,9/27/2024,FedEx,In Transit,1,,,,,,,,,
247,36010,12/13/2024,12/18/2024,FedEx,In Transit,4,,,,,,,,,
248,16393,1/6/2025,1/10/2025,BlueDart,Delivered,3,,,,,,,,,
249,21528,2/14/2024,2/22/2024,FedEx,In Transit,6,,,,,,,,,
250,45914,2/9/2024,2/16/2024,Delhivery,In Transit,0,,,,,,,,,
251,38834,10/8/2025,10/15/2025,FedEx,Delayed,0,,,,,,,,,
252,41113,8/4/2025,8/5/2025,BlueDart,In Transit,0,,,,,,,,,
253,1477,12/14/2024,12/20/2024,BlueDart,In Transit,0,,,,,,,,,
254,30981,9/27/2024,10/10/2024,BlueDart,Delivered,4,,,,,,,,,
255,49510,10/24/2024,11/3/2024,Delhivery,In Transit,-1,,,,,,,,,
256,39718,10/25/2024,10/29/2024,BlueDart,In Transit,3,,,,,,,,,
257,9927,1/3/2024,1/14/2024,Delhivery,Delayed,5,,,,,,,,,
258,47601,4/3/2024,4/14/2024,FedEx,Delivered,2,,,,,,,,,
259,24030,4/4/2025,4/20/2025,FedEx,Delivered,6,,,,,,,,,
260,6308,6/13/2024,6/18/2024,DHL,In Transit,-1,,,,,,,,,
261,48509,1/19/2025,2/4/2025,Delhivery,Delayed,7,,,,,,,,,
262,563,1/3/2024,1/13/2024,Delhivery,In Transit,0,,,,,,,,,
263,9404,10/6/2025,10/13/2025,BlueDart,In Transit,3,,,,,,,,,
264,4794,9/6/2025,9/10/2025,FedEx,In Transit,1,,,,,,,,,
265,31286,10/1/2025,10/14/2025,FedEx,Delivered,3,,,,,,,,,
266,17139,10/5/2025,10/16/2025,Delhivery,Delivered,1,,,,,,,,,
267,31367,11/10/2024,11/21/2024,DHL,Delivered,2,,,,,,,,,
268,29296,5/19/2025,5/23/2025,BlueDart,Delivered,0,,,,,,,,,
269,33767,1/8/2025,1/19/2025,FedEx,Delayed,5,,,,,,,,,
270,3275,11/2/2025,11/10/2025,Delhivery,Delivered,7,,,,,,,,,
271,18324,8/29/2025,9/3/2025,Delhivery,Delivered,4,,,,,,,,,
272,1855,10/8/2024,10/25/2024,FedEx,Delivered,7,,,,,,,,,
273,31564,12/18/2025,12/21/2025,Delhivery,Delivered,0,,,,,,,,,
274,24651,8/25/2025,9/3/2025,DHL,Delivered,7,,,,,,,,,
275,5917,5/29/2025,6/1/2025,BlueDart,In Transit,2,,,,,,,,,
276,7284,4/17/2024,4/28/2024,DHL,In Transit,1,,,,,,,,,
277,20237,11/12/2024,11/19/2024,DHL,In Transit,2,,,,,,,,,
278,763,4/9/2025,4/11/2025,Delhivery,Delayed,-1,,,,,,,,,
279,1659,4/1/2024,4/7/2024,Delhivery,In Transit,5,,,,,,,,,
280,12440,8/31/2024,9/6/2024,Delhivery,In Transit,-1,,,,,,,,,
281,28914,1/11/2025,1/21/2025,BlueDart,Delivered,4,,,,,,,,,
282,23158,1/31/2024,2/3/2024,FedEx,Delivered,1,,,,,,,,,
283,7703,8/4/2025,8/11/2025,FedEx,Delivered,4,,,,,,,,,
284,17163,11/2/2025,11/15/2025,FedEx,In Transit,4,,,,,,,,,
285,19233,5/27/2025,5/30/2025,FedEx,Delayed,-1,,,,,,,,,
286,22122,1/21/2025,1/24/2025,DHL,In Transit,0,,,,,,,,,
287,34361,11/27/2024,12/1/2024,DHL,In Transit,3,,,,,,,,,
288,24214,9/3/2025,9/10/2025,DHL,In Transit,2,,,,,,,,,
289,44475,4/20/2024,4/27/2024,FedEx,Delayed,-1,,,,,,,,,
290,5746,8/22/2025,9/3/2025,DHL,Delivered,5,,,,,,,,,
291,31395,6/15/2025,6/19/2025,BlueDart,Delayed,3,,,,,,,,,
292,2514,8/10/2024,8/23/2024,Delhivery,In Transit,5,,,,,,,,,
293,46779,4/2/2025,4/11/2025,DHL,In Transit,4,,,,,,,,,
294,17435,8/23/2024,9/2/2024,FedEx,In Transit,6,,,,,,,,,
295,27133,2/21/2025,2/24/2025,Delhivery,Delayed,1,,,,,,,,,
296,36783,12/23/2024,12/25/2024,FedEx,Delayed,-1,,,,,,,,,
297,13662,2/21/2025,3/2/2025,DHL,Delivered,2,,,,,,,,,
298,44963,7/6/2025,7/19/2025,DHL,Delivered,4,,,,,,,,,
299,22074,1/17/2024,1/27/2024,BlueDart,In Transit,0,,,,,,,,,
300,15961,3/31/2025,4/5/2025,FedEx,Delivered,1,,,,,,,,,
301,11477,10/20/2025,10/30/2025,DHL,In Transit,0,,,,,,,,,
302,10879,1/3/2025,1/13/2025,DHL,In Transit,-1,,,,,,,,,
303,35158,1/30/2025,1/31/2025,DHL,Delivered,0,,,,,,,,,
304,8676,7/31/2025,8/9/2025,BlueDart,Delivered,0,,,,,,,,,
305,31725,12/21/2024,12/23/2024,FedEx,Delayed,-1,,,,,,,,,
306,41483,3/4/2024,3/11/2024,BlueDart,Delivered,1,,,,,,,,,
307,20822,7/18/2024,7/26/2024,FedEx,In Transit,5,,,,,,,,,
308,30677,10/8/2025,10/23/2025,FedEx,Delivered,5,,,,,,,,,
309,3649,4/7/2025,4/13/2025,Delhivery,Delayed,5,,,,,,,,,
310,6356,9/29/2024,10/13/2024,BlueDart,In Transit,4,,,,,,,,,
311,19067,2/9/2024,2/18/2024,BlueDart,In Transit,7,,,,,,,,,
312,28938,9/12/2024,9/26/2024,Delhivery,In Transit,6,,,,,,,,,
313,20894,4/17/2024,4/25/2024,DHL,Delayed,6,,,,,,,,,
314,34575,12/29/2025,1/5/2026,BlueDart,Delivered,-1,,,,,,,,,
315,18261,8/13/2024,8/26/2024,Delhivery,Delivered,3,,,,,,,,,
316,32950,4/12/2025,4/17/2025,Delhivery,Delayed,4,,,,,,,,,
317,49339,1/2/2025,1/9/2025,FedEx,Delayed,4,,,,,,,,,
318,40257,10/28/2025,11/6/2025,Delhivery,Delivered,1,,,,,,,,,
319,17527,12/23/2025,12/26/2025,BlueDart,Delayed,1,,,,,,,,,
320,11195,6/1/2024,6/10/2024,BlueDart,Delayed,7,,,,,,,,,
321,49102,1/13/2025,1/20/2025,Delhivery,In Transit,0,,,,,,,,,
322,28542,6/27/2024,7/7/2024,Delhivery,In Transit,-1,,,,,,,,,
323,46086,6/10/2025,6/21/2025,Delhivery,In Transit,6,,,,,,,,,
324,32793,10/11/2024,10/20/2024,Delhivery,Delayed,7,,,,,,,,,
325,3019,12/10/2025,12/21/2025,Delhivery,Delayed,1,,,,,,,,,
326,31494,5/30/2024,6/9/2024,Delhivery,Delayed,-1,,,,,,,,,
327,37895,9/8/2025,9/20/2025,Delhivery,In Transit,2,,,,,,,,,
328,43293,10/16/2024,10/20/2024,Delhivery,Delivered,-1,,,,,,,,,
329,44666,10/31/2025,11/5/2025,FedEx,Delivered,4,,,,,,,,,
330,9793,5/26/2025,6/6/2025,BlueDart,Delivered,3,,,,,,,,,
331,5006,6/30/2025,7/2/2025,Delhivery,Delivered,-1,,,,,,,,,
332,36139,12/23/2025,12/29/2025,Delhivery,In Transit,3,,,,,,,,,
333,13209,3/10/2025,3/18/2025,DHL,Delivered,1,,,,,,,,,
334,10739,3/19/2025,3/30/2025,DHL,In Transit,5,,,,,,,,,
335,24802,9/2/2024,9/14/2024,DHL,Delivered,7,,,,,,,,,
336,34281,1/13/2025,1/28/2025,FedEx,Delayed,6,,,,,,,,,
337,40709,4/16/2024,4/23/2024,FedEx,Delivered,4,,,,,,,,,
338,18268,12/2/2024,12/7/2024,FedEx,Delayed,4,,,,,,,,,
339,31369,11/11/2025,11/22/2025,FedEx,In Transit,6,,,,,,,,,
340,8408,1/12/2025,1/20/2025,Delhivery,Delivered,2,,,,,,,,,
341,42402,4/20/2024,4/26/2024,FedEx,In Transit,-1,,,,,,,,,
342,45415,2/2/2025,2/10/2025,DHL,Delivered,5,,,,,,,,,
