Order_ID,Date,Product_ID,Region,Quantity,Sales_Amount,Customer_Type,Channel,,,,,,
96,5/2/2025,972,South,39,10308.48,Distributor,Wholesale,,,,,,
97,12/23/2025,149,West,50,13178.5,Retail,Store,,,,,,
98,4/4/2025,985,North,49,17410.68,Retail,Wholesale,,,,,,
99,10/14/2025,443,East,46,22092.88,Distributor,Store,,,,,,
100,9/30/2024,599,West,13,2143.7,Distributor,Wholesale,,,,,,
101,9/4/2024,789,South,94,33120.9,Online,Store,,,,,,
102,11/24/2025,321,North,89,44228.55,Online,E-Commerce,,,,,,
103,3/10/2024,538,North,2,470.12,Online,Store,,,,,,
104,12/25/2024,258,South,29,10914.44,Retail,E-Commerce,,,,,,
105,9/26/2025,609,South,12,907.2,Online,Wholesale,,,,,,
106,5/4/2024,89,South,91,43771.91,Distributor,Wholesale,,,,,,
107,10/25/2025,190,North,73,30035.12,Online,E-Commerce,,,,,,
108,9/16/2024,959,North,38,9884.94,Online,Store,,,,,,
109,10/10/2024,926,East,99,23971.86,Distributor,E-Commerce,,,,,,
110,3/16/2024,392,West,36,14389.2,Distributor,E-Commerce,,,,,,
111,9/21/2024,72,West,34,4422.38,Retail,Wholesale,,,,,,
112,2/6/2025,112,South,23,7830.81,Online,Store,,,,,,
113,8/11/2024,935,West,79,26820.5,Online,Store,,,,,,
114,4/15/2024,586,East,5,414.05,Distributor,E-Commerce,,,,,,
115,5/24/2025,1,North,20,6875.8,Online,Store,,,,,,
116,9/29/2024,927,West,20,7300.4,Online,E-Commerce,,,,,,
117,6/11/2025,503,West,91,43039.36,Distributor,Store,,,,,,
118,3/12/2024,394,West,70,10614.1,Retail,Wholesale,,,,,,
119,7/2/2025,311,West,46,9202.3,Retail,Wholesale,,,,,,
120,10/24/2025,874,East,12,2572.92,Retail,Store,,,,,,
121,10/23/2024,568,North,83,11736.2,Distributor,Wholesale,,,,,,
122,7/14/2024,918,North,39,14162.85,Online,Wholesale,,,,,,
123,1/2/2025,648,West,63,5555.97,Online,E-Commerce,,,,,,
124,5/23/2024,738,South,5,684.45,Distributor,Store,,,,,,
125,3/5/2024,512,West,70,23767.1,Retail,E-Commerce,,,,,,
126,12/13/2024,739,North,8,1615.76,Distributor,E-Commerce,,,,,,
127,8/4/2024,470,South,84,29424.36,Online,Wholesale,,,,,,
128,8/26/2024,145,West,10,665.9,Online,E-Commerce,,,,,,
129,4/27/2025,719,South,80,5648.8,Retail,E-Commerce,,,,,,
130,10/9/2025,841,North,7,3199.7,Distributor,Wholesale,,,,,,
131,6/23/2024,838,North,76,5987.28,Retail,Store,,,,,,
132,9/1/2025,824,South,79,11791.54,Distributor,Store,,,,,,
133,11/25/2025,1000,South,52,10187.32,Distributor,E-Commerce,,,,,,
134,2/16/2024,65,North,76,9731.8,Distributor,E-Commerce,,,,,,
135,3/1/2025,567,South,22,7993.26,Distributor,E-Commerce,,,,,,
136,8/18/2025,811,West,6,660.12,Retail,E-Commerce,,,,,,
137,5/13/2025,184,North,11,581.46,Online,Wholesale,,,,,,
138,8/30/2025,827,West,37,8780.1,Online,E-Commerce,,,,,,
139,7/30/2024,536,West,19,6420.48,Distributor,E-Commerce,,,,,,
140,6/27/2024,611,South,79,28538.75,Online,Store,,,,,,
141,9/18/2025,802,East,12,3986.88,Distributor,Store,,,,,,
142,1/5/2024,121,North,72,11234.88,Online,Store,,,,,,
143,7/6/2025,789,South,65,9663.55,Distributor,E-Commerce,,,,,,
144,7/17/2024,702,West,15,6127.2,Distributor,E-Commerce,,,,,,
145,6/12/2024,56,East,86,40007.2,Distributor,E-Commerce,,,,,,
146,3/21/2025,825,West,33,6614.19,Retail,E-Commerce,,,,,,
147,2/23/2024,805,North,69,8911.35,Distributor,Wholesale,,,,,,
148,4/28/2024,739,West,10,4527.9,Online,Wholesale,,,,,,
149,11/29/2024,694,East,54,7529.76,Retail,E-Commerce,,,,,,
150,11/29/2024,756,West,30,2823.9,Retail,Store,,,,,,
151,8/13/2024,497,North,10,2619.5,Distributor,E-Commerce,,,,,,
152,8/9/2024,397,East,79,20125.25,Retail,Store,,,,,,
153,7/17/2024,277,South,81,17120.97,Distributor,E-Commerce,,,,,,
154,2/2/2024,288,South,89,27225.1,Retail,Store,,,,,,
155,4/14/2025,352,South,54,6860.16,Distributor,Wholesale,,,,,,
156,6/9/2024,928,South,82,39256.68,Online,Wholesale,,,,,,
157,8/23/2024,535,West,12,2823.12,Retail,Wholesale,,,,,,
158,4/29/2025,748,West,60,10537.8,Online,E-Commerce,,,,,,
159,9/10/2024,228,South,42,10307.22,Online,E-Commerce,,,,,,
160,3/3/2025,482,North,6,408.18,Distributor,Wholesale,,,,,,
161,2/7/2025,714,North,62,25690.94,Distributor,Store,,,,,,
162,9/3/2024,13,West,11,3314.52,Retail,E-Commerce,,,,,,
163,1/2/2025,93,North,38,5988.04,Distributor,Wholesale,,,,,,
164,11/8/2024,879,North,21,7696.29,Distributor,Store,,,,,,
165,5/21/2024,809,East,91,21149.31,Online,Store,,,,,,
166,12/21/2025,643,North,82,4150.02,Distributor,Wholesale,,,,,,
167,12/6/2024,437,East,68,4400.96,Online,Wholesale,,,,,,
168,7/9/2025,807,North,74,30156.48,Online,Store,,,,,,
169,2/26/2024,691,East,66,31376.4,Retail,E-Commerce,,,,,,
170,1/27/2025,42,East,47,12192.27,Distributor,E-Commerce,,,,,,
171,10/25/2025,575,South,72,26437.68,Retail,Store,,,,,,
172,9/1/2024,490,South,70,7077,Online,E-Commerce,,,,,,
173,11/24/2024,516,West,46,20887.22,Distributor,E-Commerce,,,,,,
174,3/5/2024,498,North,48,9856.8,Distributor,Wholesale,,,,,,
175,6/28/2025,922,East,87,36663.54,Distributor,Wholesale,,,,,,
176,1/11/2025,829,North,87,41360.67,Retail,Store,,,,,,
177,3/30/2024,184,East,11,2483.91,Retail,E-Commerce,,,,,,
178,6/17/2024,152,West,36,3614.76,Retail,E-Commerce,,,,,,
179,6/17/2025,427,South,81,4877.01,Distributor,Store,,,,,,
180,3/6/2025,22,East,57,21772.29,Retail,E-Commerce,,,,,,
181,1/23/2024,533,East,30,12771.9,Distributor,Wholesale,,,,,,
182,12/17/2024,335,West,84,28620.48,Online,Wholesale,,,,,,
183,12/14/2025,456,West,68,29162.48,Distributor,Wholesale,,,,,,
184,5/15/2024,267,South,40,5091.2,Distributor,Store,,,,,,
185,10/22/2024,152,East,99,42617.52,Distributor,Store,,,,,,
186,6/19/2024,729,East,80,37268.8,Retail,E-Commerce,,,,,,
187,12/26/2025,814,South,89,40683.68,Retail,E-Commerce,,,,,,
188,4/29/2024,589,South,6,2983.2,Distributor,Store,,,,,,
189,1/13/2025,725,North,24,3415.68,Online,Store,,,,,,
190,12/18/2024,553,South,19,4138.39,Online,Store,,,,,,
191,5/4/2024,512,South,4,928.2,Distributor,Store,,,,,,
192,6/8/2024,560,East,1,486.57,Online,Wholesale,,,,,,
193,10/29/2024,993,South,61,27644.59,Online,Wholesale,,,,,,
194,3/28/2025,750,West,44,15845.28,Retail,E-Commerce,,,,,,
195,11/25/2025,26,West,71,7283.89,Online,E-Commerce,,,,,,
196,4/1/2025,57,South,46,4214.52,Online,Wholesale,,,,,,
197,8/15/2024,24,North,99,17331.93,Online,Store,,,,,,
198,11/24/2025,1000,West,86,41359.98,Retail,Store,,,,,,
199,11/21/2024,967,North,78,25138.62,Online,Store,,,,,,
200,2/11/2025,438,East,19,7071.42,Distributor,Store,,,,,,
201,1/13/2024,316,West,37,7592.77,Online,E-Commerce,,,,,,
202,8/8/2024,760,West,94,42253.94,Distributor,Store,,,,,,
203,6/16/2024,435,West,94,45746.04,Retail,Wholesale,,,,,,
204,9/4/2025,311,West,12,1375.68,Online,Store,,,,,,
205,3/8/2024,91,North,76,29659,Distributor,Wholesale,,,,,,
206,10/6/2024,474,South,54,6949.8,Retail,E-Commerce,,,,,,
207,1/25/2025,44,East,38,11371.12,Online,Store,,,,,,
208,5/20/2025,230,North,72,27571.68,Retail,E-Commerce,,,,,,
209,9/25/2024,855,West,39,18728.19,Retail,Wholesale,,,,,,
210,11/12/2025,504,South,37,8795.64,Retail,E-Commerce,,,,,,
211,10/10/2024,69,East,64,31836.8,Online,Store,,,,,,
212,8/2/2025,644,West,56,24682.56,Online,E-Commerce,,,,,,
213,1/17/2025,18,East,66,25068.78,Retail,Wholesale,,,,,,
214,2/29/2024,900,South,19,3683.34,Distributor,E-Commerce,,,,,,
215,2/24/2024,652,East,35,7438.2,Retail,Store,,,,,,
216,10/25/2024,79,South,68,22952.04,Online,E-Commerce,,,,,,
217,4/6/2024,557,East,77,29928.36,Distributor,Wholesale,,,,,,
218,11/4/2024,705,East,35,12545.75,Retail,Wholesale,,,,,,
219,8/16/2025,14,South,46,19342.54,Online,Store,,,,,,
220,1/16/2025,349,South,100,26820,Retail,E-Commerce,,,,,,
221,6/7/2024,193,North,65,9717.5,Distributor,Store,,,,,,
222,3/19/2024,946,North,15,6277.2,Distributor,Store,,,,,,
223,11/15/2024,837,West,89,18971.24,Online,Wholesale,,,,,,
224,12/16/2024,30,North,23,8497.35,Retail,E-Commerce,,,,,,
225,12/11/2025,315,South,19,6832.78,Retail,E-Commerce,,,,,,
226,3/21/2024,803,North,55,19847.85,Retail,E-Commerce,,,,,,
227,5/10/2025,202,North,97,23673.82,Retail,Wholesale,,,,,,
228,6/9/2025,122,East,76,5826.92,Retail,E-Commerce,,,,,,
229,11/4/2024,99,North,86,4697.32,Online,E-Commerce,,,,,,
230,8/24/2025,360,North,26,3461.9,Retail,E-Commerce,,,,,,
231,10/11/2024,165,South,75,15489.75,Online,Wholesale,,,,,,
232,3/10/2024,782,North,13,5444.53,Online,E-Commerce,,,,,,
233,7/15/2024,773,North,37,4710.1,Online,E-Commerce,,,,,,
234,8/7/2024,487,East,65,28150.2,Online,Wholesale,,,,,,
235,7/8/2024,110,South,57,20126.13,Distributor,Store,,,,,,
236,3/10/2025,418,North,28,7879.48,Distributor,E-Commerce,,,,,,
237,4/22/2025,508,East,15,4258.2,Online,Store,,,,,,
238,7/24/2025,336,West,93,6349.11,Retail,Store,,,,,,
239,10/17/2024,320,West,59,18890.62,Retail,Wholesale,,,,,,
240,2/21/2025,439,South,38,18742.74,Retail,Store,,,,,,
241,11/26/2025,691,West,48,6272.64,Online,E-Commerce,,,,,,
242,2/9/2025,693,North,57,16256.4,Retail,E-Commerce,,,,,,
243,2/8/2025,105,South,52,18864.04,Retail,Store,,,,,,
244,7/22/2024,865,West,44,6165.28,Retail,E-Commerce,,,,,,
245,3/10/2025,784,East,93,25537.8,Online,Store,,,,,,
246,12/30/2024,973,West,61,21350,Distributor,Wholesale,,,,,,
247,10/12/2024,111,North,19,7516.4,Distributor,Store,,,,,,
248,5/24/2025,138,North,30,9983.1,Retail,Wholesale,,,,,,
249,2/24/2024,28,South,9,2467.44,Distributor,Wholesale,,,,,,
250,11/26/2025,637,North,42,4986.66,Retail,Wholesale,,,,,,
251,6/16/2025,478,South,99,26876.52,Distributor,Wholesale,,,,,,
252,5/24/2025,556,East,63,17461.08,Online,Wholesale,,,,,,
253,1/19/2024,441,North,98,6293.56,Distributor,Store,,,,,,
254,11/18/2024,37,North,49,12208.35,Retail,Wholesale,,,,,,
255,11/6/2025,724,South,100,18637,Distributor,Store,,,,,,
256,5/17/2024,500,North,40,14883.2,Online,Wholesale,,,,,,
257,5/17/2025,553,West,85,25432,Distributor,Wholesale,,,,,,
258,6/9/2024,270,West,65,4880.2,Online,Store,,,,,,
259,9/23/2025,292,East,87,18160.38,Retail,E-Commerce,,,,,,
260,8/27/2025,376,East,6,646.14,Online,Wholesale,,,,,,
261,1/28/2024,350,West,98,44207.8,Retail,Store,,,,,,
262,12/19/2024,58,South,46,10827.02,Retail,E-Commerce,,,,,,
263,10/25/2025,933,North,40,12665.6,Distributor,E-Commerce,,,,,,
264,12/11/2024,334,North,22,1295.14,Distributor,Wholesale,,,,,,
265,3/8/2025,432,East,73,20559.72,Retail,Wholesale,,,,,,
266,4/25/2025,325,West,76,4560.76,Online,Store,,,,,,
267,11/26/2024,501,North,74,6954.52,Online,Wholesale,,,,,,
268,7/29/2024,831,East,44,12035.32,Retail,Wholesale,,,,,,
269,11/2/2024,207,West,47,22853.28,Online,E-Commerce,,,,,,
270,7/2/2025,49,East,28,5020.68,Online,Store,,,,,,
271,8/19/2024,95,North,80,30744,Online,Store,,,,,,
272,10/6/2024,544,West,9,2744.01,Distributor,E-Commerce,,,,,,
273,12/21/2024,310,East,10,3431.9,Distributor,Wholesale,,,,,,
274,7/6/2025,412,East,41,5741.23,Online,Wholesale,,,,,,
275,4/9/2025,185,North,86,33845.3,Online,Wholesale,,,,,,
276,6/12/2025,219,West,24,7429.92,Distributor,Wholesale,,,,,,
277,6/29/2025,929,West,79,34266.25,Online,Wholesale,,,,,,
278,10/3/2025,374,West,8,2280.16,Retail,E-Commerce,,,,,,
279,6/3/2024,308,West,96,34405.44,Distributor,Store,,,,,,
280,3/6/2024,423,East,82,11611.2,Distributor,Wholesale,,,,,,
281,6/13/2024,242,West,33,11849.64,Retail,E-Commerce,,,,,,
282,6/2/2024,817,East,25,1561.75,Distributor,Store,,,,,,
283,7/27/2025,928,North,56,13434.96,Retail,E-Commerce,,,,,,
284,10/6/2024,809,East,18,1135.98,Online,Wholesale,,,,,,
285,6/29/2024,987,West,83,35991.29,Retail,E-Commerce,,,,,,
286,3/26/2024,888,North,41,13149.52,Distributor,Store,,,,,,
287,11/18/2025,407,South,85,38128.45,Retail,E-Commerce,,,,,,
288,8/7/2025,124,East,95,26135.45,Distributor,E-Commerce,,,,,,
289,8/31/2024,827,East,77,8086.54,Distributor,Wholesale,,,,,,
290,2/3/2025,958,West,96,36938.88,Retail,E-Commerce,,,,,,
291,4/19/2024,282,West,23,3366.05,Distributor,Store,,,,,,
292,8/26/2025,384,North,8,2165.28,Distributor,Wholesale,,,,,,
293,3/9/2025,987,East,61,21791.03,Retail,Store,,,,,,
294,5/1/2025,316,North,92,19824.16,Online,Wholesale,,,,,,
295,2/5/2024,964,North,95,33060,Online,Wholesale,,,,,,
296,9/2/2024,317,East,33,9858.09,Online,E-Commerce,,,,,,
297,7/1/2025,398,North,31,13514.14,Distributor,Store,,,,,,
298,11/4/2024,775,South,12,5656.2,Distributor,E-Commerce,,,,,,
299,6/13/2024,901,West,57,19044.27,Retail,Store,,,,,,
300,3/23/2024,483,West,100,47322,Distributor,Wholesale,,,,,,
301,3/8/2025,716,East,13,5472.74,Online,E-Commerce,,,,,,
302,12/26/2024,833,East,54,17331.3,Distributor,Wholesale,,,,,,
303,1/29/2024,657,South,98,7197.12,Online,Store,,,,,,
304,10/18/2025,205,East,18,924.84,Distributor,Wholesale,,,,,,
305,3/25/2024,529,South,15,1815.3,Online,Wholesale,,,,,,
306,2/24/2025,895,South,41,10379.97,Distributor,E-Commerce,,,,,,
307,12/4/2025,819,East,76,32075.8,Retail,E-Commerce,,,,,,
308,2/28/2025,898,West,48,6328.8,Online,E-Commerce,,,,,,
309,1/22/2024,663,South,3,1396.2,Retail,Store,,,,,,
310,7/22/2024,173,North,34,12429.38,Distributor,Wholesale,,,,,,
311,3/15/2025,92,East,77,12864.39,Retail,Wholesale,,,,,,
312,4/30/2024,446,West,2,746.72,Online,Store,,,,,,
313,5/1/2024,196,East,29,10761.9,Distributor,Wholesale,,,,,,
314,5/21/2025,877,South,49,5320.91,Online,E-Commerce,,,,,,
315,10/16/2024,429,South,94,33344.62,Distributor,E-Commerce,,,,,,
316,1/30/2024,242,West,38,18591.88,Retail,Store,,,,,,
317,8/19/2025,88,North,88,30030.88,Distributor,E-Commerce,,,,,,
318,11/27/2024,218,West,89,20372.1,Online,Store,,,,,,
319,9/3/2025,571,North,33,2735.04,Retail,Store,,,,,,
320,8/28/2024,621,North,61,27980.7,Retail,Store,,,,,,
321,5/31/2025,405,East,80,17713.6,Retail,Wholesale,,,,,,
322,2/12/2024,174,West,75,9804,Distributor,Store,,,,,,
323,5/15/2024,544,West,12,2313.48,Retail,Store,,,,,,
324,4/29/2024,131,West,41,2864.67,Distributor,Wholesale,,,,,,
325,1/4/2025,898,East,56,9929.92,Online,Store,,,,,,
326,6/13/2025,169,East,41,10090.1,Online,Store,,,,,,
327,6/3/2024,674,West,72,31238.64,Retail,E-Commerce,,,,,,
328,6/1/2024,37,West,7,1074.08,Distributor,E-Commerce,,,,,,
329,12/23/2025,917,West,60,14783.4,Retail,Store,,,,,,
330,12/31/2024,469,West,91,27516.58,Retail,Wholesale,,,,,,
331,5/31/2024,209,East,16,3317.12,Retail,E-Commerce,,,,,,
332,6/4/2025,680,South,35,10621.1,Online,E-Commerce,,,,,,
333,6/22/2025,427,North,99,30378.15,Retail,Store,,,,,,
334,11/24/2025,27,East,13,5841.16,Online,Wholesale,,,,,,
335,5/4/2024,952,North,51,11123.1,Distributor,E-Commerce,,,,,,
336,1/30/2024,725,West,11,2828.1,Distributor,Wholesale,,,,,,
337,10/2/2024,338,North,77,26649.7,Online,Wholesale,,,,,,
338,4/8/2025,752,South,42,20006.28,Retail,E-Commerce,,,,,,
339,10/21/2025,57,North,37,7230.91,Online,Wholesale,,,,,,
340,1/25/2025,183,South,12,2753.88,Distributor,E-Commerce,,,,,,
341,1/22/2024,799,West,27,3329.64,Distributor,Wholesale,,,,,,
342,10/31/2025,503,West,20,2085.4,Online,Store,,,,,,
343,12/2/2025,682,North,78,8508.24,Distributor,Wholesale,,,,,,
344,7/23/2024,398,West,63,15778.35,Distributor,Wholesale,,,,,,
345,9/6/2025,433,East,55,4983,Online,E-Commerce,,,,,,
346,3/20/2025,42,East,81,19578.51,Distributor,Wholesale,,,,,,
347,8/17/2024,159,West,83,29781.23,Online,Wholesale,,,,,,
348,10/24/2025,480,West,68,5969.72,Retail,Store,,,,,,
349,11/3/2024,701,East,20,9857.6,Retail,Wholesale,,,,,,
350,3/13/2025,565,North,38,11621.92,Retail,Wholesale,,,,,,
351,4/20/2024,97,West,66,15919.86,Online,Wholesale,,,,,,
352,8/5/2025,600,North,33,6928.68,Online,E-Commerce,,,,,,
353,4/26/2024,184,South,95,33032.45,Distributor,E-Commerce,,,,,,
354,3/26/2024,305,East,54,24005.16,Online,Wholesale,,,,,,
355,4/10/2025,639,East,97,34107.14,Distributor,E-Commerce,,,,,,
356,8/4/2024,619,East,24,2044.8,Online,E-Commerce,,,,,,
357,3/20/2025,405,North,69,4006.14,Retail,E-Commerce,,,,,,
358,11/2/2025,415,West,62,15938.34,Distributor,Wholesale,,,,,,
359,9/23/2025,987,West,47,16957.6,Distributor,E-Commerce,,,,,,
360,5/8/2024,115,North,18,1012.32,Online,E-Commerce,,,,,,
361,1/28/2024,149,South,27,7195.5,Distributor,Wholesale,,,,,,
362,7/5/2025,789,West,25,2218.5,Retail,Store,,,,,,
363,3/8/2025,925,South,3,307.23,Online,Wholesale,,,,,,
364,3/31/2025,881,West,63,16516.71,Online,E-Commerce,,,,,,
365,7/25/2024,854,West,38,11637.12,Retail,Store,,,,,,
366,1/9/2024,731,West,14,4671.52,Distributor,Store,,,,,,
367,8/15/2025,298,North,77,29182.23,Distributor,Store,,,,,,
368,5/12/2025,627,West,66,20854.02,Retail,Wholesale,,,,,,
369,3/3/2024,591,East,68,3982.08,Online,E-Commerce,,,,,,
370,10/1/2024,485,North,83,19729.93,Distributor,Wholesale,,,,,,
371,10/23/2025,447,North,45,11328.75,Retail,Store,,,,,,
372,7/15/2024,238,South,61,12488.53,Online,Wholesale,,,,,,
373,12/13/2024,733,West,78,33855.9,Retail,Store,,,,,,
374,12/29/2025,854,East,50,24095.5,Distributor,E-Commerce,,,,,,
375,9/28/2025,768,North,27,4781.97,Online,Store,,,,,,
376,5/12/2024,621,West,23,3214.71,Retail,Store,,,,,,
377,5/20/2025,571,North,39,6069.18,Retail,Store,,,,,,
378,9/24/2024,179,North,46,16312.52,Retail,Store,,,,,,
379,3/16/2025,124,South,15,4918.5,Distributor,Store,,,,,,
380,12/14/2024,789,East,46,18226.12,Retail,Wholesale,,,,,,
381,6/11/2025,724,North,78,27399.06,Distributor,Store,,,,,,
382,4/23/2024,625,North,14,5624.36,Online,E-Commerce,,,,,,
383,6/3/2025,121,South,14,1752.38,Distributor,E-Commerce,,,,,,
384,10/26/2024,519,West,91,22629.88,Online,E-Commerce,,,,,,
385,6/6/2024,839,South,83,17735.44,Retail,E-Commerce,,,,,,
386,3/25/2025,7,South,54,21392.1,Distributor,Store,,,,,,
387,10/20/2024,273,East,65,8259.55,Online,Store,,,,,,
388,1/4/2025,156,West,81,28289.25,Retail,E-Commerce,,,,,,
389,3/15/2025,920,West,53,24544.83,Online,Wholesale,,,,,,
390,1/5/2025,789,North,4,996.64,Online,Wholesale,,,,,,
391,3/12/2024,412,South,11,2224.64,Distributor,E-Commerce,,,,,,
392,2/6/2025,945,South,98,6535.62,Online,E-Commerce,,,,,,
