Inventory_ID,Product_ID,Warehouse_ID,Stock_Quantity,Reorder_Level,Safety_Stock,Last_Updated,,,,,,,
187,876,18,1811,153,52,3/17/2026,,,,,,,
188,945,8,4268,836,481,4/15/2026,,,,,,,
189,88,9,805,773,483,4/1/2026,,,,,,,
190,831,26,4112,233,167,4/11/2026,,,,,,,
191,716,3,2762,267,350,4/13/2026,,,,,,,
192,470,7,702,397,362,3/30/2026,,,,,,,
193,742,25,4411,428,140,4/13/2026,,,,,,,
194,910,28,427,152,371,3/24/2026,,,,,,,
195,748,22,2152,365,320,4/28/2026,,,,,,,
196,730,20,3114,541,328,4/6/2026,,,,,,,
197,701,6,3078,723,289,4/2/2026,,,,,,,
198,397,18,3690,296,260,3/24/2026,,,,,,,
199,579,30,4738,470,174,3/23/2026,,,,,,,
200,134,1,2098,276,104,4/28/2026,,,,,,,
201,223,5,4417,334,428,4/13/2026,,,,,,,
202,212,22,1474,296,395,4/12/2026,,,,,,,
203,147,12,4706,690,108,4/11/2026,,,,,,,
204,214,16,2780,956,414,4/16/2026,,,,,,,
205,982,30,2876,413,254,3/31/2026,,,,,,,
206,761,7,1458,153,493,3/9/2026,,,,,,,
207,813,6,1082,612,84,3/12/2026,,,,,,,
208,31,23,4525,463,179,4/3/2026,,,,,,,
209,707,25,221,905,483,4/26/2026,,,,,,,
210,747,27,3114,548,306,4/8/2026,,,,,,,
211,61,29,4250,569,421,3/12/2026,,,,,,,
212,784,12,3606,377,430,4/28/2026,,,,,,,
213,236,13,4459,677,83,3/1/2026,,,,,,,
214,824,30,1612,528,404,3/20/2026,,,,,,,
215,739,30,1482,346,105,3/13/2026,,,,,,,
216,958,30,3002,562,465,2/21/2026,,,,,,,
217,563,12,3017,113,428,3/23/2026,,,,,,,
218,772,14,556,235,369,5/6/2026,,,,,,,
219,929,21,4050,725,298,2/16/2026,,,,,,,
220,113,6,425,807,411,3/20/2026,,,,,,,
221,867,13,3309,833,73,2/27/2026,,,,,,,
222,181,22,3255,230,345,3/10/2026,,,,,,,
223,735,20,173,897,85,3/2/2026,,,,,,,
224,63,22,376,669,325,5/5/2026,,,,,,,
225,371,17,4346,141,143,3/10/2026,,,,,,,
226,164,6,4725,936,428,3/17/2026,,,,,,,
227,326,13,3132,598,423,2/27/2026,,,,,,,
228,904,21,2408,242,221,3/16/2026,,,,,,,
229,709,20,4249,320,255,3/3/2026,,,,,,,
230,658,17,4751,781,471,4/29/2026,,,,,,,
231,263,29,4532,215,424,4/12/2026,,,,,,,
232,326,3,1929,234,285,2/16/2026,,,,,,,
233,131,22,346,236,235,3/9/2026,,,,,,,
234,213,6,4012,735,486,2/24/2026,,,,,,,
235,972,7,1790,843,274,3/19/2026,,,,,,,
236,511,24,4755,685,326,4/4/2026,,,,,,,
237,842,12,1265,498,301,3/28/2026,,,,,,,
238,550,14,2316,571,288,4/18/2026,,,,,,,
239,954,8,4854,545,107,2/27/2026,,,,,,,
240,374,12,862,541,395,5/9/2026,,,,,,,
241,613,26,3011,538,348,3/30/2026,,,,,,,
242,41,30,606,767,328,4/23/2026,,,,,,,
243,712,30,80,459,90,2/27/2026,,,,,,,
244,707,5,1444,680,209,4/16/2026,,,,,,,
245,680,21,155,229,394,3/1/2026,,,,,,,
246,670,24,3149,365,395,4/10/2026,,,,,,,
247,736,26,1616,349,120,2/23/2026,,,,,,,
248,372,13,300,692,210,2/24/2026,,,,,,,
249,558,25,216,538,345,2/14/2026,,,,,,,
250,859,7,544,353,379,3/22/2026,,,,,,,
251,999,12,4931,696,103,3/24/2026,,,,,,,
252,598,25,2300,697,276,5/9/2026,,,,,,,
253,773,1,4344,930,411,2/26/2026,,,,,,,
254,934,28,1736,119,250,3/20/2026,,,,,,,
255,963,12,1934,568,105,3/6/2026,,,,,,,
256,964,24,4861,376,227,4/27/2026,,,,,,,
257,692,3,2187,854,482,2/14/2026,,,,,,,
258,51,15,3054,802,457,2/20/2026,,,,,,,
259,778,14,3373,722,167,5/1/2026,,,,,,,
260,511,11,1152,390,383,4/28/2026,,,,,,,
261,528,4,420,544,363,4/15/2026,,,,,,,
262,585,27,2758,272,81,4/6/2026,,,,,,,
263,517,10,4802,178,65,4/9/2026,,,,,,,
264,328,22,1807,696,67,2/23/2026,,,,,,,
265,856,4,1050,304,122,4/19/2026,,,,,,,
266,543,18,4479,671,101,2/19/2026,,,,,,,
267,362,27,2157,888,281,2/24/2026,,,,,,,
268,534,7,4713,167,301,3/5/2026,,,,,,,
269,107,27,2077,570,418,5/5/2026,,,,,,,
270,917,6,1460,622,181,4/17/2026,,,,,,,
271,145,4,1785,288,303,4/11/2026,,,,,,,
272,185,15,1118,859,144,5/3/2026,,,,,,,
273,201,12,2910,723,69,4/15/2026,,,,,,,
274,270,3,240,441,183,4/22/2026,,,,,,,
275,173,20,686,328,419,3/2/2026,,,,,,,
276,150,8,4429,741,233,2/19/2026,,,,,,,
277,33,1,3194,891,396,5/9/2026,,,,,,,
278,240,3,4417,371,74,5/1/2026,,,,,,,
279,755,11,3539,133,387,5/8/2026,,,,,,,
280,379,11,3570,758,449,4/7/2026,,,,,,,
281,839,11,643,538,235,4/25/2026,,,,,,,
282,829,10,4816,738,290,3/24/2026,,,,,,,
283,153,11,2821,476,218,2/22/2026,,,,,,,
284,709,15,2056,787,262,4/30/2026,,,,,,,
285,254,11,1310,369,382,3/6/2026,,,,,,,
286,114,8,3700,443,190,2/21/2026,,,,,,,
287,941,29,4139,561,282,2/19/2026,,,,,,,
288,841,9,1574,833,272,3/30/2026,,,,,,,
289,538,22,3732,407,153,3/6/2026,,,,,,,
290,947,16,4411,919,51,5/4/2026,,,,,,,
291,2,1,3823,841,201,4/1/2026,,,,,,,
292,610,18,4291,120,322,3/9/2026,,,,,,,
293,513,12,3556,192,461,4/28/2026,,,,,,,
294,170,15,1903,522,95,4/18/2026,,,,,,,
295,945,8,3974,930,110,3/25/2026,,,,,,,
296,958,1,4947,540,391,4/9/2026,,,,,,,
297,644,11,345,149,419,3/15/2026,,,,,,,
298,961,15,4137,377,248,3/30/2026,,,,,,,
299,341,3,4056,428,52,2/18/2026,,,,,,,
300,753,23,3070,124,109,3/27/2026,,,,,,,
301,940,22,3932,886,111,2/26/2026,,,,,,,
302,186,8,3625,151,208,4/24/2026,,,,,,,
303,983,30,2040,131,222,4/9/2026,,,,,,,
304,339,16,1535,844,419,3/16/2026,,,,,,,
305,295,1,2340,323,210,3/21/2026,,,,,,,
306,990,29,3600,340,194,3/30/2026,,,,,,,
307,744,30,4433,591,289,3/10/2026,,,,,,,
308,634,9,114,786,319,3/14/2026,,,,,,,
309,4,18,3755,489,190,4/17/2026,,,,,,,
310,170,24,3748,477,279,4/22/2026,,,,,,,
311,733,6,1780,267,280,5/9/2026,,,,,,,
312,577,9,791,433,374,5/11/2026,,,,,,,
313,165,29,932,612,364,3/10/2026,,,,,,,
314,49,28,132,731,73,4/11/2026,,,,,,,
315,111,16,3499,123,314,3/14/2026,,,,,,,
316,174,21,2223,642,137,5/8/2026,,,,,,,
317,203,28,4452,759,448,2/12/2026,,,,,,,
318,923,3,1309,683,311,4/4/2026,,,,,,,
319,557,19,2367,887,189,2/14/2026,,,,,,,
320,412,16,1372,147,436,4/28/2026,,,,,,,
321,876,19,1239,906,277,4/15/2026,,,,,,,
322,834,21,3554,144,484,3/11/2026,,,,,,,
323,596,21,2178,671,98,3/10/2026,,,,,,,
324,17,20,366,430,416,3/23/2026,,,,,,,
325,187,9,3565,996,150,3/29/2026,,,,,,,
326,878,7,3659,893,390,4/25/2026,,,,,,,
327,186,26,3722,308,141,3/31/2026,,,,,,,
328,579,15,2829,274,350,2/15/2026,,,,,,,
329,58,20,2154,565,254,5/9/2026,,,,,,,
330,308,12,4623,797,229,3/15/2026,,,,,,,
331,323,5,947,872,109,5/11/2026,,,,,,,
332,68,26,1886,808,470,4/23/2026,,,,,,,
333,608,19,649,805,266,3/8/2026,,,,,,,
334,785,23,1643,495,452,3/12/2026,,,,,,,
335,27,9,1066,992,232,5/7/2026,,,,,,,
336,419,9,4398,202,491,3/1/2026,,,,,,,
337,330,14,1145,776,450,3/17/2026,,,,,,,
338,542,21,4025,970,102,2/21/2026,,,,,,,
339,367,4,1713,809,296,2/28/2026,,,,,,,
340,295,7,3856,477,176,4/23/2026,,,,,,,
341,513,14,3158,861,85,4/21/2026,,,,,,,
342,913,6,2764,930,418,5/4/2026,,,,,,,
343,368,1,3270,617,488,4/25/2026,,,,,,,
344,219,11,3328,738,118,3/3/2026,,,,,,,
345,432,28,3238,414,392,2/26/2026,,,,,,,
346,661,4,3187,378,442,2/13/2026,,,,,,,
347,492,6,4200,316,155,3/24/2026,,,,,,,
348,726,15,2721,294,354,4/13/2026,,,,,,,
349,462,8,2008,150,463,3/26/2026,,,,,,,
350,394,26,4284,656,262,4/10/2026,,,,,,,
351,601,12,4525,544,366,5/4/2026,,,,,,,
352,653,24,2950,996,450,4/7/2026,,,,,,,
353,158,22,4678,104,355,4/4/2026,,,,,,,
354,661,27,4105,720,74,4/16/2026,,,,,,,
355,122,8,2003,149,293,2/23/2026,,,,,,,
356,646,21,4199,843,162,3/24/2026,,,,,,,
357,155,16,2694,239,485,4/8/2026,,,,,,,
358,492,29,3396,974,131,3/28/2026,,,,,,,
359,245,9,219,155,380,4/29/2026,,,,,,,
360,771,25,4152,525,174,2/24/2026,,,,,,,
361,595,22,2296,178,71,4/8/2026,,,,,,,
362,747,22,2807,405,85,3/25/2026,,,,,,,
363,525,22,588,804,231,3/20/2026,,,,,,,
364,662,3,1094,524,363,3/29/2026,,,,,,,
365,581,24,1515,712,491,4/25/2026,,,,,,,
366,438,16,442,157,400,2/17/2026,,,,,,,
367,117,1,3776,529,150,4/16/2026,,,,,,,
368,136,26,477,345,77,3/9/2026,,,,,,,
369,652,13,2180,173,355,2/15/2026,,,,,,,
370,652,12,3486,287,174,3/7/2026,,,,,,,
371,336,13,1248,324,155,2/13/2026,,,,,,,
372,22,3,4601,421,449,2/28/2026,,,,,,,
373,628,7,2061,115,204,3/6/2026,,,,,,,
374,349,20,4098,486,143,2/23/2026,,,,,,,
375,701,6,1256,810,120,3/16/2026,,,,,,,
376,597,22,2753,920,187,5/3/2026,,,,,,,
377,192,19,3063,931,127,3/25/2026,,,,,,,
378,828,30,2598,808,102,3/10/2026,,,,,,,
379,215,1,4351,708,141,5/2/2026,,,,,,,
380,516,17,4277,235,459,3/14/2026,,,,,,,
381,351,17,282,777,361,3/29/2026,,,,,,,
382,416,12,3406,107,117,2/11/2026,,,,,,,
383,452,13,3467,429,287,3/30/2026,,,,,,,
384,466,10,1660,445,206,2/25/2026,,,,,,,
385,994,18,966,730,371,4/26/2026,,,,,,,
386,414,11,1316,711,73,5/1/2026,,,,,,,
387,73,3,462,936,239,5/9/2026,,,,,,,
388,811,30,3660,435,298,3/21/2026,,,,,,,
389,252,1,79,674,92,3/3/2026,,,,,,,
390,308,17,4617,658,406,4/4/2026,,,,,,,
391,672,20,1268,984,53,3/4/2026,,,,,,,
392,30,26,821,172,82,2/25/2026,,,,,,,
393,836,13,2394,912,203,5/8/2026,,,,,,,
394,72,29,2940,690,347,2/23/2026,,,,,,,
395,608,27,3626,934,126,4/21/2026,,,,,,,
396,118,11,3810,949,424,3/16/2026,,,,,,,
397,964,4,941,912,387,2/11/2026,,,,,,,
398,296,3,1892,632,79,4/24/2026,,,,,,,
399,529,24,4173,690,165,5/8/2026,,,,,,,
400,981,5,4767,442,357,3/17/2026,,,,,,,
401,341,22,550,143,172,2/26/2026,,,,,,,
402,502,12,4633,356,470,4/10/2026,,,,,,,
403,421,22,3680,669,463,3/31/2026,,,,,,,
404,611,29,2100,229,204,3/20/2026,,,,,,,
405,181,15,1188,908,164,3/21/2026,,,,,,,
406,752,12,1846,731,417,3/8/2026,,,,,,,
407,933,8,160,665,61,4/30/2026,,,,,,,
408,332,10,2970,749,217,3/18/2026,,,,,,,
409,517,25,2989,689,116,3/14/2026,,,,,,,
410,630,14,3680,653,197,3/12/2026,,,,,,,
411,797,3,4347,397,147,3/10/2026,,,,,,,
412,47,1,4288,383,94,2/26/2026,,,,,,,
413,834,19,2179,408,101,2/17/2026,,,,,,,
414,78,4,1388,987,258,2/26/2026,,,,,,,
415,554,18,2700,155,382,3/10/2026,,,,,,,
416,609,23,4093,969,340,4/18/2026,,,,,,,
417,533,2,3140,202,319,3/16/2026,,,,,,,
418,498,16,2146,278,440,2/19/2026,,,,,,,
419,843,4,1474,527,65,2/19/2026,,,,,,,
420,270,20,2238,682,413,4/7/2026,,,,,,,
421,336,21,4886,762,59,4/16/2026,,,,,,,
422,224,24,1969,814,59,5/10/2026,,,,,,,
423,723,12,2035,309,89,5/7/2026,,,,,,,
424,85,23,1473,904,323,3/27/2026,,,,,,,
425,793,16,731,722,96,5/3/2026,,,,,,,
426,671,24,2696,832,101,3/23/2026,,,,,,,
427,34,9,509,924,121,4/12/2026,,,,,,,
428,274,7,2094,161,249,3/28/2026,,,,,,,
429,494,5,4064,189,479,4/10/2026,,,,,,,
430,203,6,3923,149,325,5/9/2026,,,,,,,
431,433,14,675,470,260,3/30/2026,,,,,,,
432,530,15,759,651,253,3/25/2026,,,,,,,
433,280,15,1093,445,68,4/18/2026,,,,,,,
434,754,8,200,753,464,3/17/2026,,,,,,,
435,713,13,4917,404,358,4/16/2026,,,,,,,
436,8,3,3237,462,446,5/7/2026,,,,,,,
437,140,28,2206,292,232,4/20/2026,,,,,,,
438,928,5,743,347,469,4/28/2026,,,,,,,
439,473,13,3292,254,369,2/28/2026,,,,,,,
440,574,2,3770,426,103,4/9/2026,,,,,,,
441,726,28,942,578,373,5/4/2026,,,,,,,
442,441,12,2938,622,357,3/19/2026,,,,,,,
443,7,25,3878,822,201,5/2/2026,,,,,,,
444,433,10,789,622,120,3/20/2026,,,,,,,
445,295,18,2172,262,357,3/27/2026,,,,,,,
446,493,11,829,718,301,5/4/2026,,,,,,,
447,187,13,2768,241,199,2/12/2026,,,,,,,
448,663,22,4933,685,472,2/17/2026,,,,,,,
449,848,15,376,247,327,2/21/2026,,,,,,,
450,948,12,284,904,61,2/28/2026,,,,,,,
451,704,21,2389,889,449,3/24/2026,,,,,,,
452,707,27,735,310,351,3/31/2026,,,,,,,
453,202,4,65,471,238,3/27/2026,,,,,,,
454,939,18,4244,416,346,4/18/2026,,,,,,,
455,214,27,1410,497,69,3/1/2026,,,,,,,
456,70,11,4082,498,459,4/3/2026,,,,,,,
457,670,2,3870,686,281,4/22/2026,,,,,,,
458,499,7,4635,471,271,3/11/2026,,,,,,,
459,680,24,1650,183,354,2/28/2026,,,,,,,
460,863,11,1570,159,397,3/19/2026,,,,,,,
461,434,1,470,422,321,2/23/2026,,,,,,,
462,492,25,3877,225,492,3/4/2026,,,,,,,
463,867,29,4280,736,183,4/15/2026,,,,,,,
464,294,11,1987,834,222,4/28/2026,,,,,,,
465,137,15,1515,444,105,4/20/2026,,,,,,,
466,621,20,4483,348,491,4/12/2026,,,,,,,
467,276,20,3223,448,396,3/30/2026,,,,,,,
468,628,12,384,178,93,4/24/2026,,,,,,,
469,915,19,2902,531,134,2/23/2026,,,,,,,
470,900,11,3454,478,200,5/11/2026,,,,,,,
471,85,7,4473,870,322,3/20/2026,,,,,,,
472,291,14,4304,899,112,3/23/2026,,,,,,,
473,223,9,1408,739,282,2/17/2026,,,,,,,
474,193,5,4896,344,62,2/13/2026,,,,,,,
475,515,9,3904,643,238,5/1/2026,,,,,,,
476,683,20,4711,714,51,4/28/2026,,,,,,,
477,258,11,4973,907,109,4/30/2026,,,,,,,
478,211,20,1964,219,171,4/21/2026,,,,,,,
479,961,25,1116,473,137,3/31/2026,,,,,,,
480,680,29,2542,226,243,4/6/2026,,,,,,,
481,705,18,4882,223,417,5/11/2026,,,,,,,
482,682,3,2535,502,256,4/14/2026,,,,,,,
483,541,16,2521,100,174,4/14/2026,,,,,,,
484,258,8,4384,736,468,2/25/2026,,,,,,,
485,931,5,3438,450,346,2/28/2026,,,,,,,
486,293,27,2070,671,495,5/1/2026,,,,,,,
487,602,29,4467,796,127,3/19/2026,,,,,,,
488,808,13,3468,185,269,5/11/2026,,,,,,,
489,139,29,1807,603,366,5/1/2026,,,,,,,
490,871,1,1723,235,388,2/15/2026,,,,,,,
491,794,8,685,813,122,5/1/2026,,,,,,,
492,264,24,4475,933,284,4/14/2026,,,,,,,
493,536,11,910,207,161,3/29/2026,,,,,,,
494,512,22,4873,970,195,4/18/2026,,,,,,,
495,248,6,1804,795,357,3/13/2026,,,,,,,
496,176,10,3972,418,128,2/11/2026,,,,,,,
497,496,23,2499,470,412,3/1/2026,,,,,,,
498,616,10,3947,859,180,2/16/2026,,,,,,,
499,967,15,2668,355,345,4/14/2026,,,,,,,
500,719,2,951,786,276,4/11/2026,,,,,,,
501,279,16,4316,494,401,2/17/2026,,,,,,,
502,26,18,3385,384,176,4/24/2026,,,,,,,
503,188,8,2439,835,480,4/12/2026,,,,,,,
504,438,26,4849,511,107,3/22/2026,,,,,,,
505,258,15,1688,875,449,3/17/2026,,,,,,,
506,442,30,426,623,101,5/8/2026,,,,,,,
507,728,3,331,717,405,4/7/2026,,,,,,,
508,851,12,2030,176,205,4/10/2026,,,,,,,
509,147,11,2804,354,110,2/12/2026,,,,,,,
510,796,23,2453,361,351,2/20/2026,,,,,,,
511,117,14,2195,465,109,5/4/2026,,,,,,,
512,129,1,349,218,392,2/25/2026,,,,,,,
513,440,7,4389,155,343,2/16/2026,,,,,,,
514,166,16,3925,998,259,3/28/2026,,,,,,,
