PO_ID,Supplier_ID,Product_ID,Order_Date,Expected_Date,Actual_Date,Quantity,PO_Status,,,,,,
24,170,671,2/2/2025,2/6/2025,2/10/2025,4028,Open,,,,,,
25,182,769,1/22/2025,1/30/2025,2/5/2025,850,Delayed,,,,,,
26,124,241,8/24/2024,9/11/2024,9/14/2024,2586,Delayed,,,,,,
27,53,920,12/11/2025,12/30/2025,12/28/2025,4980,Open,,,,,,
28,40,193,2/2/2024,2/9/2024,2/7/2024,3622,Open,,,,,,
29,185,484,8/29/2025,9/4/2025,9/4/2025,956,Closed,,,,,,
30,195,30,11/23/2024,12/8/2024,12/7/2024,1730,Open,,,,,,
31,8,242,5/22/2024,6/11/2024,6/12/2024,2014,Open,,,,,,
32,35,276,7/3/2024,7/7/2024,7/8/2024,4935,Closed,,,,,,
33,6,113,11/19/2024,12/5/2024,12/9/2024,476,Closed,,,,,,
34,138,711,6/29/2025,7/2/2025,7/5/2025,246,Delayed,,,,,,
35,80,281,3/23/2025,4/6/2025,4/7/2025,4656,Open,,,,,,
36,64,681,8/11/2024,8/17/2024,8/19/2024,1866,Open,,,,,,
37,64,554,11/16/2024,12/1/2024,12/5/2024,4705,Closed,,,,,,
38,118,886,8/6/2024,8/23/2024,8/24/2024,3169,Delayed,,,,,,
39,91,417,10/5/2024,10/10/2024,10/15/2024,4561,Delayed,,,,,,
40,148,835,9/29/2025,10/9/2025,10/13/2025,3272,Open,,,,,,
41,8,909,12/6/2024,12/25/2024,12/26/2024,1615,Open,,,,,,
42,1,795,9/2/2024,9/8/2024,9/8/2024,2387,Open,,,,,,
43,54,500,6/25/2024,7/8/2024,7/8/2024,421,Closed,,,,,,
44,7,97,4/7/2024,4/14/2024,4/17/2024,1631,Closed,,,,,,
45,176,77,10/9/2024,10/17/2024,10/19/2024,1574,Closed,,,,,,
46,76,745,7/5/2025,7/22/2025,7/25/2025,958,Closed,,,,,,
47,120,35,3/25/2025,4/12/2025,4/18/2025,1573,Open,,,,,,
48,94,912,12/8/2025,12/26/2025,12/29/2025,4639,Closed,,,,,,
49,174,152,1/23/2024,1/31/2024,2/3/2024,159,Open,,,,,,
50,116,475,8/15/2025,8/25/2025,8/28/2025,882,Delayed,,,,,,
51,110,733,6/3/2025,6/10/2025,6/10/2025,4908,Delayed,,,,,,
52,42,266,3/7/2024,3/27/2024,3/28/2024,4732,Open,,,,,,
53,153,413,12/14/2024,12/19/2024,12/17/2024,3666,Delayed,,,,,,
54,90,705,7/13/2025,7/27/2025,7/28/2025,4395,Closed,,,,,,
55,87,260,10/5/2025,10/13/2025,10/17/2025,2626,Open,,,,,,
56,141,395,7/5/2025,7/23/2025,7/29/2025,1076,Delayed,,,,,,
57,43,915,4/27/2025,5/12/2025,5/12/2025,1951,Open,,,,,,
58,197,885,6/5/2025,6/10/2025,6/15/2025,569,Closed,,,,,,
59,18,691,1/6/2025,1/16/2025,1/19/2025,1850,Open,,,,,,
60,81,961,1/1/2025,1/12/2025,1/13/2025,3697,Closed,,,,,,
61,120,58,6/5/2024,6/16/2024,6/16/2024,4597,Closed,,,,,,
62,175,444,8/2/2025,8/8/2025,8/11/2025,1949,Open,,,,,,
63,146,451,3/3/2024,3/18/2024,3/19/2024,680,Delayed,,,,,,
64,104,57,8/31/2024,9/8/2024,9/6/2024,2221,Open,,,,,,
65,51,957,4/20/2025,5/2/2025,4/30/2025,2567,Delayed,,,,,,
66,177,728,7/25/2024,8/4/2024,8/5/2024,4336,Closed,,,,,,
67,115,333,7/30/2024,8/15/2024,8/21/2024,4302,Closed,,,,,,
68,119,70,3/11/2025,3/20/2025,3/19/2025,248,Open,,,,,,
69,137,216,10/24/2024,10/30/2024,10/29/2024,2877,Closed,,,,,,
70,198,494,9/13/2024,9/18/2024,9/22/2024,4508,Delayed,,,,,,
71,126,499,2/11/2024,2/15/2024,2/19/2024,3049,Delayed,,,,,,
72,97,552,7/7/2025,7/25/2025,7/28/2025,1989,Closed,,,,,,
73,149,284,6/28/2024,7/16/2024,7/22/2024,3608,Open,,,,,,
74,15,701,12/19/2025,1/5/2026,1/11/2026,838,Delayed,,,,,,
75,38,624,2/17/2024,2/24/2024,2/22/2024,1700,Delayed,,,,,,
76,113,203,10/24/2025,10/29/2025,10/30/2025,4553,Open,,,,,,
77,176,162,9/15/2024,10/1/2024,10/5/2024,496,Open,,,,,,
78,177,988,1/29/2025,2/6/2025,2/12/2025,267,Closed,,,,,,
79,16,694,6/1/2024,6/20/2024,6/23/2024,4781,Closed,,,,,,
80,124,584,2/7/2025,2/24/2025,2/26/2025,3181,Delayed,,,,,,
81,177,754,9/19/2024,10/1/2024,10/5/2024,4546,Open,,,,,,
82,42,46,3/30/2025,4/19/2025,4/20/2025,4936,Closed,,,,,,
83,188,556,9/6/2024,9/19/2024,9/24/2024,1464,Open,,,,,,
84,22,266,3/12/2025,3/25/2025,3/23/2025,3178,Delayed,,,,,,
85,54,43,11/2/2024,11/5/2024,11/8/2024,4127,Closed,,,,,,
86,133,516,12/23/2025,1/3/2026,1/8/2026,1610,Closed,,,,,,
87,77,734,9/18/2024,10/5/2024,10/11/2024,638,Open,,,,,,
88,113,811,3/21/2025,3/31/2025,3/31/2025,3010,Closed,,,,,,
89,84,914,7/28/2024,8/2/2024,7/31/2024,738,Delayed,,,,,,
90,128,686,12/19/2024,12/28/2024,12/27/2024,1908,Delayed,,,,,,
91,135,624,1/19/2025,2/5/2025,2/6/2025,4545,Open,,,,,,
92,1,615,9/15/2024,9/20/2024,9/25/2024,3434,Delayed,,,,,,
93,198,451,3/26/2024,4/3/2024,4/9/2024,1769,Delayed,,,,,,
94,18,620,4/28/2024,5/10/2024,5/14/2024,663,Closed,,,,,,
95,151,321,11/26/2024,12/14/2024,12/17/2024,2434,Open,,,,,,
96,8,512,3/10/2025,3/13/2025,3/15/2025,4111,Delayed,,,,,,
97,102,427,4/30/2024,5/10/2024,5/9/2024,2627,Closed,,,,,,
98,136,518,1/14/2024,1/20/2024,1/20/2024,3647,Delayed,,,,,,
99,176,622,1/10/2024,1/19/2024,1/22/2024,4678,Closed,,,,,,
100,105,14,5/28/2024,6/10/2024,6/15/2024,4983,Closed,,,,,,
101,148,613,2/3/2025,2/20/2025,2/19/2025,1786,Closed,,,,,,
102,73,697,12/27/2025,1/14/2026,1/18/2026,4037,Closed,,,,,,
103,100,770,3/8/2024,3/17/2024,3/20/2024,1965,Closed,,,,,,
104,164,987,7/10/2025,7/25/2025,7/25/2025,2322,Open,,,,,,
105,168,539,9/4/2024,9/24/2024,9/27/2024,1513,Open,,,,,,
106,4,444,3/16/2025,3/19/2025,3/23/2025,2412,Closed,,,,,,
107,99,366,5/30/2024,6/11/2024,6/11/2024,2036,Open,,,,,,
108,134,589,8/8/2025,8/15/2025,8/20/2025,3375,Delayed,,,,,,
109,114,114,7/1/2024,7/6/2024,7/7/2024,3462,Closed,,,,,,
110,53,932,11/24/2024,12/12/2024,12/11/2024,269,Delayed,,,,,,
111,164,873,2/22/2024,3/10/2024,3/15/2024,4187,Open,,,,,,
112,200,988,3/2/2024,3/20/2024,3/24/2024,1321,Open,,,,,,
113,173,377,8/14/2025,8/31/2025,9/3/2025,2356,Closed,,,,,,
114,117,964,3/21/2025,3/28/2025,3/30/2025,4532,Closed,,,,,,
115,70,331,6/26/2025,6/29/2025,7/1/2025,1919,Open,,,,,,
116,51,795,6/16/2024,6/28/2024,6/26/2024,3478,Delayed,,,,,,
117,86,250,9/6/2024,9/19/2024,9/18/2024,2082,Closed,,,,,,
118,173,887,2/17/2024,3/5/2024,3/5/2024,2090,Open,,,,,,
119,189,904,8/11/2025,8/15/2025,8/15/2025,2448,Open,,,,,,
120,106,160,3/29/2024,4/14/2024,4/13/2024,2310,Delayed,,,,,,
121,91,565,6/28/2025,7/17/2025,7/18/2025,2919,Closed,,,,,,
122,74,751,4/16/2025,4/24/2025,4/28/2025,4067,Open,,,,,,
123,147,449,1/22/2025,2/4/2025,2/8/2025,3236,Delayed,,,,,,
124,89,78,10/14/2025,10/30/2025,11/4/2025,3290,Open,,,,,,
125,38,178,12/6/2025,12/23/2025,12/26/2025,2002,Closed,,,,,,
126,104,820,10/12/2025,10/25/2025,10/27/2025,1705,Delayed,,,,,,
127,171,773,5/10/2025,5/16/2025,5/22/2025,2209,Open,,,,,,
128,175,588,5/19/2025,5/22/2025,5/27/2025,4754,Open,,,,,,
129,175,201,7/13/2024,7/23/2024,7/25/2024,1847,Open,,,,,,
130,160,630,11/1/2025,11/15/2025,11/21/2025,1495,Open,,,,,,
131,75,553,4/7/2024,4/27/2024,5/2/2024,1658,Open,,,,,,
132,4,171,2/27/2024,3/18/2024,3/22/2024,4992,Closed,,,,,,
133,153,449,5/18/2024,6/7/2024,6/10/2024,3793,Delayed,,,,,,
134,135,32,4/13/2025,4/18/2025,4/16/2025,4297,Open,,,,,,
135,78,234,11/17/2025,11/22/2025,11/23/2025,4539,Open,,,,,,
136,34,615,7/13/2024,7/27/2024,7/27/2024,4703,Delayed,,,,,,
137,128,138,12/21/2025,1/5/2026,1/11/2026,1833,Delayed,,,,,,
138,169,179,8/12/2024,8/20/2024,8/24/2024,4498,Closed,,,,,,
139,149,186,7/13/2025,7/19/2025,7/17/2025,4302,Delayed,,,,,,
140,89,536,8/19/2025,8/31/2025,9/4/2025,978,Open,,,,,,
141,25,661,1/4/2025,1/18/2025,1/16/2025,2587,Delayed,,,,,,
142,49,370,7/15/2024,7/23/2024,7/29/2024,4750,Closed,,,,,,
143,88,949,8/2/2025,8/15/2025,8/13/2025,537,Delayed,,,,,,
144,123,356,5/9/2024,5/26/2024,5/30/2024,696,Closed,,,,,,
145,188,649,7/30/2024,8/15/2024,8/14/2024,486,Delayed,,,,,,
146,180,263,2/5/2025,2/14/2025,2/15/2025,2139,Open,,,,,,
147,38,961,8/6/2025,8/12/2025,8/13/2025,288,Closed,,,,,,
148,147,494,3/3/2025,3/18/2025,3/19/2025,558,Closed,,,,,,
149,11,891,2/14/2024,2/21/2024,2/20/2024,3413,Open,,,,,,
150,141,605,2/1/2024,2/16/2024,2/17/2024,352,Closed,,,,,,
151,178,909,4/29/2025,5/10/2025,5/13/2025,174,Closed,,,,,,
152,31,339,2/21/2024,2/28/2024,2/28/2024,3341,Delayed,,,,,,
153,140,684,12/14/2024,12/24/2024,12/25/2024,2301,Closed,,,,,,
154,102,684,5/1/2024,5/8/2024,5/9/2024,737,Open,,,,,,
155,36,498,5/17/2024,5/27/2024,5/28/2024,2717,Open,,,,,,
156,121,487,1/11/2025,1/31/2025,2/5/2025,2961,Open,,,,,,
157,160,891,10/14/2025,10/24/2025,10/30/2025,1204,Open,,,,,,
158,109,525,6/19/2025,7/1/2025,6/29/2025,4372,Closed,,,,,,
159,41,679,6/1/2025,6/5/2025,6/4/2025,3720,Delayed,,,,,,
160,137,694,2/22/2024,2/29/2024,3/1/2024,3062,Open,,,,,,
161,167,34,5/28/2025,6/11/2025,6/15/2025,1648,Open,,,,,,
162,71,197,9/26/2024,9/29/2024,9/30/2024,1945,Open,,,,,,
163,73,668,10/19/2025,10/30/2025,11/2/2025,1964,Delayed,,,,,,
164,24,211,10/15/2025,10/19/2025,10/18/2025,3542,Open,,,,,,
165,123,815,3/6/2025,3/11/2025,3/13/2025,4362,Delayed,,,,,,
166,95,113,3/11/2024,3/26/2024,3/28/2024,2238,Closed,,,,,,
167,182,386,5/26/2025,6/1/2025,6/2/2025,1172,Delayed,,,,,,
168,68,54,7/5/2024,7/13/2024,7/12/2024,3297,Closed,,,,,,
169,136,96,9/28/2024,10/14/2024,10/12/2024,1909,Delayed,,,,,,
170,125,949,9/14/2024,10/2/2024,10/5/2024,4977,Closed,,,,,,
171,165,971,4/26/2025,5/14/2025,5/16/2025,1008,Delayed,,,,,,
172,62,177,8/3/2024,8/18/2024,8/22/2024,1550,Open,,,,,,
173,28,254,3/8/2025,3/24/2025,3/27/2025,4968,Closed,,,,,,
174,91,731,2/10/2025,3/2/2025,3/8/2025,1784,Open,,,,,,
175,92,744,4/8/2025,4/25/2025,5/1/2025,2053,Open,,,,,,
176,117,438,3/8/2024,3/25/2024,3/23/2024,2557,Delayed,,,,,,
177,100,940,9/15/2024,9/18/2024,9/20/2024,4020,Open,,,,,,
178,48,457,5/9/2025,5/13/2025,5/13/2025,3313,Open,,,,,,
179,99,965,4/5/2024,4/11/2024,4/12/2024,1917,Delayed,,,,,,
180,199,321,11/1/2025,11/18/2025,11/16/2025,1093,Closed,,,,,,
181,9,643,10/19/2024,11/3/2024,11/2/2024,4312,Open,,,,,,
182,47,559,5/1/2024,5/10/2024,5/10/2024,1651,Open,,,,,,
183,64,706,5/31/2025,6/19/2025,6/21/2025,3048,Closed,,,,,,
184,195,278,6/16/2024,7/6/2024,7/6/2024,2276,Delayed,,,,,,
185,127,244,10/24/2025,11/11/2025,11/9/2025,3331,Delayed,,,,,,
186,196,852,8/4/2025,8/10/2025,8/13/2025,1750,Closed,,,,,,
187,88,511,8/20/2025,8/28/2025,8/30/2025,237,Delayed,,,,,,
188,176,875,3/8/2024,3/16/2024,3/20/2024,618,Closed,,,,,,
189,50,311,7/31/2025,8/11/2025,8/10/2025,458,Closed,,,,,,
190,18,358,9/16/2025,10/6/2025,10/10/2025,818,Open,,,,,,
191,63,301,6/17/2024,6/20/2024,6/23/2024,4032,Closed,,,,,,
192,185,318,11/16/2024,11/27/2024,11/29/2024,555,Delayed,,,,,,
193,42,401,11/1/2024,11/4/2024,11/9/2024,4321,Closed,,,,,,
194,50,938,5/27/2025,6/5/2025,6/3/2025,2273,Closed,,,,,,
195,6,513,6/15/2024,6/29/2024,7/1/2024,1301,Delayed,,,,,,
196,181,651,12/14/2025,12/25/2025,12/24/2025,2660,Closed,,,,,,
197,30,778,11/30/2025,12/17/2025,12/15/2025,4473,Open,,,,,,
198,7,925,1/16/2024,1/19/2024,1/22/2024,4398,Open,,,,,,
199,85,783,5/19/2024,6/6/2024,6/11/2024,3307,Closed,,,,,,
200,157,814,10/3/2025,10/6/2025,10/5/2025,1891,Open,,,,,,
201,12,136,8/4/2025,8/21/2025,8/25/2025,3076,Open,,,,,,
202,115,561,11/13/2025,11/23/2025,11/24/2025,419,Delayed,,,,,,
203,167,225,4/28/2024,5/10/2024,5/8/2024,1035,Open,,,,,,
204,80,398,4/25/2025,5/4/2025,5/2/2025,1916,Open,,,,,,
205,109,935,12/31/2025,1/16/2026,1/19/2026,2269,Closed,,,,,,
206,197,714,6/16/2025,6/30/2025,6/28/2025,2739,Delayed,,,,,,
207,38,436,6/7/2024,6/18/2024,6/24/2024,4174,Closed,,,,,,
208,122,997,8/1/2025,8/4/2025,8/7/2025,1496,Closed,,,,,,
209,60,217,5/3/2025,5/15/2025,5/14/2025,2960,Open,,,,,,
210,146,234,4/5/2024,4/24/2024,4/29/2024,844,Open,,,,,,
211,131,238,4/19/2024,4/26/2024,4/27/2024,1648,Delayed,,,,,,
212,53,733,10/30/2024,11/4/2024,11/9/2024,1808,Open,,,,,,
213,100,176,5/6/2025,5/18/2025,5/16/2025,3237,Delayed,,,,,,
214,117,908,4/12/2024,5/2/2024,5/6/2024,3817,Delayed,,,,,,
215,97,926,4/15/2024,4/22/2024,4/25/2024,4537,Open,,,,,,
216,189,22,5/19/2025,6/3/2025,6/7/2025,2387,Open,,,,,,
217,140,681,11/19/2025,12/3/2025,12/9/2025,4375,Closed,,,,,,
218,50,309,6/9/2025,6/28/2025,6/29/2025,2185,Open,,,,,,
219,150,132,2/21/2024,2/29/2024,3/6/2024,1417,Delayed,,,,,,
220,119,447,2/23/2024,3/2/2024,3/1/2024,1579,Closed,,,,,,
221,34,259,4/24/2025,4/28/2025,4/26/2025,1693,Open,,,,,,
222,91,597,6/27/2024,7/11/2024,7/12/2024,3330,Delayed,,,,,,
223,178,58,8/15/2025,8/27/2025,8/30/2025,4815,Open,,,,,,
224,74,456,4/1/2024,4/19/2024,4/24/2024,173,Closed,,,,,,
225,140,798,8/1/2025,8/4/2025,8/3/2025,1557,Closed,,,,,,
226,95,404,7/21/2025,8/10/2025,8/14/2025,2534,Open,,,,,,
227,105,67,9/4/2025,9/9/2025,9/12/2025,1080,Delayed,,,,,,
228,166,36,2/23/2024,3/2/2024,3/2/2024,850,Delayed,,,,,,
229,61,486,1/30/2024,2/11/2024,2/13/2024,4775,Delayed,,,,,,
230,129,182,10/14/2025,10/21/2025,10/21/2025,3162,Open,,,,,,
231,17,662,10/10/2024,10/27/2024,10/31/2024,2110,Closed,,,,,,
232,124,140,8/24/2024,8/27/2024,8/31/2024,1505,Closed,,,,,,
233,113,921,9/26/2024,10/3/2024,10/3/2024,3519,Closed,,,,,,
234,85,196,9/4/2024,9/18/2024,9/16/2024,842,Closed,,,,,,
235,11,329,7/8/2025,7/20/2025,7/23/2025,4276,Closed,,,,,,
236,187,865,5/2/2024,5/7/2024,5/9/2024,753,Delayed,,,,,,
237,180,745,2/23/2024,3/7/2024,3/11/2024,4657,Closed,,,,,,
238,27,404,1/3/2024,1/9/2024,1/12/2024,3832,Closed,,,,,,
239,173,251,2/2/2024,2/18/2024,2/22/2024,406,Delayed,,,,,,
240,194,188,10/10/2025,10/26/2025,10/28/2025,2835,Open,,,,,,
241,62,447,3/9/2025,3/27/2025,3/28/2025,4828,Open,,,,,,
242,27,636,12/1/2024,12/10/2024,12/16/2024,4504,Delayed,,,,,,
243,193,489,12/2/2025,12/21/2025,12/26/2025,809,Closed,,,,,,
244,120,201,11/23/2024,12/2/2024,12/2/2024,2990,Delayed,,,,,,
245,155,693,7/19/2025,8/1/2025,8/1/2025,348,Open,,,,,,
246,152,715,4/26/2025,5/12/2025,5/15/2025,4108,Open,,,,,,
247,56,598,12/17/2025,12/27/2025,12/29/2025,389,Closed,,,,,,
248,99,620,12/30/2024,1/7/2025,1/13/2025,1535,Delayed,,,,,,
249,194,426,11/26/2024,11/29/2024,11/28/2024,3049,Open,,,,,,
250,64,383,12/18/2025,1/1/2026,1/5/2026,578,Closed,,,,,,
251,27,602,10/31/2025,11/6/2025,11/6/2025,489,Open,,,,,,
252,58,225,12/12/2024,12/27/2024,1/1/2025,4508,Closed,,,,,,
253,179,45,8/2/2024,8/22/2024,8/28/2024,1380,Closed,,,,,,
254,179,457,10/26/2024,10/31/2024,10/29/2024,2346,Closed,,,,,,
255,54,88,5/23/2025,6/12/2025,6/14/2025,1055,Delayed,,,,,,
256,72,612,4/15/2024,4/26/2024,5/2/2024,4210,Closed,,,,,,
257,162,56,8/26/2024,8/29/2024,9/4/2024,3475,Delayed,,,,,,
258,157,334,4/2/2025,4/5/2025,4/6/2025,4027,Delayed,,,,,,
259,181,356,11/4/2024,11/18/2024,11/24/2024,3663,Closed,,,,,,
260,167,434,3/2/2025,3/21/2025,3/24/2025,1815,Open,,,,,,
261,63,319,8/8/2024,8/26/2024,8/24/2024,179,Open,,,,,,
262,86,543,5/8/2024,5/19/2024,5/22/2024,3603,Closed,,,,,,
263,10,741,5/20/2025,5/24/2025,5/24/2025,1936,Delayed,,,,,,
264,146,314,3/31/2025,4/13/2025,4/17/2025,3100,Open,,,,,,
265,124,668,3/20/2025,3/23/2025,3/25/2025,615,Open,,,,,,
266,6,138,8/23/2024,8/28/2024,8/31/2024,4651,Open,,,,,,
267,57,126,9/9/2024,9/21/2024,9/23/2024,4103,Delayed,,,,,,
268,196,488,2/22/2025,3/12/2025,3/11/2025,2417,Delayed,,,,,,
269,104,269,9/30/2024,10/19/2024,10/18/2024,4206,Open,,,,,,
270,76,769,7/6/2024,7/22/2024,7/24/2024,1224,Closed,,,,,,
271,132,847,6/9/2024,6/22/2024,6/24/2024,2619,Closed,,,,,,
272,148,332,10/3/2024,10/20/2024,10/19/2024,1255,Delayed,,,,,,
273,88,409,10/22/2024,11/11/2024,11/12/2024,983,Closed,,,,,,
274,122,830,7/25/2024,8/2/2024,8/8/2024,557,Closed,,,,,,
275,100,980,1/19/2024,2/8/2024,2/11/2024,3481,Closed,,,,,,
276,46,776,4/30/2025,5/12/2025,5/10/2025,588,Delayed,,,,,,
277,111,295,4/18/2024,4/21/2024,4/26/2024,1921,Delayed,,,,,,
278,1,366,5/15/2025,5/22/2025,5/24/2025,1873,Open,,,,,,
279,85,586,2/18/2025,3/2/2025,3/3/2025,436,Delayed,,,,,,
280,147,414,11/23/2024,12/4/2024,12/8/2024,1330,Open,,,,,,
281,63,708,8/17/2025,8/24/2025,8/24/2025,4665,Open,,,,,,
282,83,213,1/8/2025,1/24/2025,1/25/2025,4015,Delayed,,,,,,
283,103,646,6/23/2024,7/1/2024,7/2/2024,102,Closed,,,,,,
284,159,304,5/13/2024,5/20/2024,5/21/2024,4405,Closed,,,,,,
285,163,866,1/8/2025,1/23/2025,1/27/2025,1146,Open,,,,,,
286,17,986,2/21/2024,3/6/2024,3/6/2024,2867,Open,,,,,,
287,120,821,2/7/2024,2/15/2024,2/18/2024,1599,Delayed,,,,,,
288,170,21,2/2/2024,2/10/2024,2/14/2024,4968,Open,,,,,,
289,162,76,11/29/2024,12/9/2024,12/11/2024,3959,Delayed,,,,,,
290,186,547,10/6/2024,10/13/2024,10/11/2024,3454,Open,,,,,,
291,9,570,7/16/2024,7/22/2024,7/28/2024,407,Closed,,,,,,
292,25,407,10/17/2024,10/20/2024,10/18/2024,3368,Open,,,,,,
293,34,992,5/3/2025,5/7/2025,5/5/2025,447,Delayed,,,,,,
294,194,207,12/10/2024,12/21/2024,12/22/2024,4451,Closed,,,,,,
295,152,267,4/29/2025,5/19/2025,5/23/2025,2440,Delayed,,,,,,
296,85,339,8/12/2025,8/31/2025,9/2/2025,2227,Open,,,,,,
297,10,728,9/18/2024,9/25/2024,9/26/2024,2257,Open,,,,,,
298,131,176,3/30/2025,4/7/2025,4/10/2025,1948,Closed,,,,,,
299,66,700,12/3/2024,12/22/2024,12/23/2024,338,Open,,,,,,
300,80,788,2/3/2025,2/9/2025,2/9/2025,1247,Delayed,,,,,,
301,160,612,12/27/2024,1/12/2025,1/18/2025,3796,Open,,,,,,
302,176,310,11/29/2024,12/17/2024,12/20/2024,450,Delayed,,,,,,
303,104,22,4/15/2025,4/22/2025,4/21/2025,1179,Open,,,,,,
304,87,977,6/8/2025,6/14/2025,6/18/2025,1936,Open,,,,,,
305,2,482,2/15/2024,2/27/2024,3/1/2024,2515,Closed,,,,,,
306,155,514,7/17/2025,7/22/2025,7/28/2025,730,Delayed,,,,,,
307,34,362,1/30/2025,2/11/2025,2/17/2025,1340,Open,,,,,,
308,52,665,5/28/2025,6/9/2025,6/10/2025,474,Delayed,,,,,,
309,1,425,12/23/2025,1/4/2026,1/5/2026,3549,Delayed,,,,,,
310,181,149,8/23/2025,9/4/2025,9/7/2025,1197,Delayed,,,,,,
311,132,187,3/26/2025,4/15/2025,4/20/2025,4589,Open,,,,,,
312,22,701,7/1/2024,7/6/2024,7/11/2024,4328,Delayed,,,,,,
313,40,689,1/20/2024,2/5/2024,2/9/2024,279,Delayed,,,,,,
314,93,326,5/15/2025,5/19/2025,5/24/2025,3867,Delayed,,,,,,
315,123,123,8/16/2024,8/20/2024,8/18/2024,4548,Closed,,,,,,
316,83,954,8/22/2024,8/27/2024,9/2/2024,190,Open,,,,,,
317,139,41,2/16/2025,2/20/2025,2/19/2025,4296,Delayed,,,,,,
318,189,523,9/10/2024,9/20/2024,9/21/2024,3983,Open,,,,,,
319,130,368,11/10/2024,11/16/2024,11/17/2024,3180,Open,,,,,,
320,90,569,1/29/2025,2/16/2025,2/18/2025,3846,Open,,,,,,
321,115,190,8/6/2025,8/13/2025,8/13/2025,1927,Closed,,,,,,
322,112,424,7/14/2024,7/17/2024,7/18/2024,360,Delayed,,,,,,
323,195,263,8/29/2024,9/10/2024,9/14/2024,791,Open,,,,,,
324,165,72,10/2/2025,10/14/2025,10/14/2025,451,Open,,,,,,
325,88,668,5/27/2025,6/8/2025,6/8/2025,2465,Closed,,,,,,
326,65,90,4/24/2025,5/13/2025,5/15/2025,1334,Closed,,,,,,
327,23,162,1/23/2024,2/3/2024,2/4/2024,4953,Delayed,,,,,,
328,153,355,11/25/2024,12/1/2024,11/30/2024,4601,Open,,,,,,
329,79,620,6/16/2025,6/22/2025,6/20/2025,4623,Delayed,,,,,,
330,162,508,5/21/2025,6/4/2025,6/8/2025,927,Open,,,,,,
331,88,472,9/23/2024,10/1/2024,10/6/2024,127,Open,,,,,,
332,185,219,1/10/2024,1/30/2024,2/5/2024,3358,Delayed,,,,,,
333,166,405,4/4/2025,4/16/2025,4/14/2025,1766,Open,,,,,,
334,133,474,1/31/2024,2/20/2024,2/19/2024,2273,Closed,,,,,,
335,151,922,1/13/2024,1/25/2024,1/24/2024,1511,Closed,,,,,,
336,154,188,2/11/2024,2/17/2024,2/19/2024,4958,Open,,,,,,
337,178,678,9/20/2024,9/23/2024,9/28/2024,1579,Closed,,,,,,
338,124,863,6/30/2024,7/14/2024,7/20/2024,1162,Open,,,,,,
339,132,826,8/7/2025,8/25/2025,8/23/2025,2210,Open,,,,,,
340,63,456,3/9/2024,3/29/2024,3/30/2024,2389,Delayed,,,,,,
341,161,648,3/2/2024,3/6/2024,3/6/2024,1166,Open,,,,,,
342,98,531,9/27/2025,10/13/2025,10/13/2025,1722,Closed,,,,,,
343,53,261,9/22/2025,9/25/2025,9/26/2025,681,Closed,,,,,,
344,53,216,10/20/2024,10/23/2024,10/27/2024,2446,Open,,,,,,
345,149,253,3/22/2025,4/4/2025,4/2/2025,4340,Delayed,,,,,,
346,166,332,8/28/2024,9/5/2024,9/9/2024,3483,Open,,,,,,
347,10,306,11/9/2025,11/21/2025,11/21/2025,786,Closed,,,,,,
